"","Year","Statistic","Type.of.Work","Receiving.Benefits.or.Not","value"
"974","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Not Receiving Benefits",230.22
"975","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Not Receiving Benefits",268.28
"976","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Not Receiving Benefits",43.7
"977","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Not Receiving Benefits",43
"978","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Not Receiving Benefits",42.7
"979","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Not Receiving Benefits",39.7
"980","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Not Receiving Benefits",40.8
"981","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Not Receiving Benefits",39.6
"982","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Not Receiving Benefits",40.06
"983","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Not Receiving Benefits",41.3
"984","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Not Receiving Benefits",41.3
"985","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Not Receiving Benefits",40.1
"986","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Not Receiving Benefits",37.3
"987","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Not Receiving Benefits",40.6
"988","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Not Receiving Benefits",38.5
"989","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Not Receiving Benefits",41.9
"990","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Not Receiving Benefits",55.69
"991","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Not Receiving Benefits",64.64
"992","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Not Receiving Benefits",75.02
"993","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Not Receiving Benefits",91.31
"994","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Not Receiving Benefits",111.38
"995","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Not Receiving Benefits",133.49
"996","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Not Receiving Benefits",150.92
"997","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Not Receiving Benefits",165.75
"998","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Not Receiving Benefits",196.63
"999","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Not Receiving Benefits",218
"1000","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Not Receiving Benefits",245.82
"1001","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Not Receiving Benefits",365.35
"1002","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Not Receiving Benefits",43.9
"1003","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Not Receiving Benefits",43.1
"1004","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Not Receiving Benefits",43
"1005","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Not Receiving Benefits",42
"1006","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Not Receiving Benefits",41.6
"1007","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Not Receiving Benefits",41.5
"1008","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Not Receiving Benefits",41.41
"1009","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Not Receiving Benefits",41.6
"1010","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Not Receiving Benefits",41.7
"1011","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Not Receiving Benefits",41.4
"1012","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Not Receiving Benefits",41.4
"1013","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Not Receiving Benefits",41.7
"1014","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Not Receiving Benefits",44
"1015","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Not Receiving Benefits",52.69
"1016","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Not Receiving Benefits",71.54
"1017","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Not Receiving Benefits",86.39
"1018","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Not Receiving Benefits",91.89
"1019","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Not Receiving Benefits",111.46
"1020","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Not Receiving Benefits",142.62
"1021","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Not Receiving Benefits",177.74
"1022","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Not Receiving Benefits",206.41
"1023","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Not Receiving Benefits",233.35
"1024","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Not Receiving Benefits",270.35
"1025","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Not Receiving Benefits",301.7
"1026","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Not Receiving Benefits",369.16
"1027","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Not Receiving Benefits",468.86
"1028","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Not Receiving Benefits",44.9
"1029","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Not Receiving Benefits",44.9
"1030","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Not Receiving Benefits",44.5
"1031","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Not Receiving Benefits",42.7
"1032","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Not Receiving Benefits",42.8
"1033","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Not Receiving Benefits",41.6
"1034","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Not Receiving Benefits",43.89
"1035","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Not Receiving Benefits",42.9
"1036","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Not Receiving Benefits",43.4
"1037","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Not Receiving Benefits",39.7
"1038","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Not Receiving Benefits",40.9
"1039","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Not Receiving Benefits",43.4
"1040","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Not Receiving Benefits",41.9
"1041","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Not Receiving Benefits",41.27
"1042","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Not Receiving Benefits",57.84
"1043","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Not Receiving Benefits",68.02
"1044","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Not Receiving Benefits",81.33
"1045","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Not Receiving Benefits",100.36
"1046","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Not Receiving Benefits",116.07
"1047","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Not Receiving Benefits",142.48
"1048","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Not Receiving Benefits",155.75
"1049","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Not Receiving Benefits",173.42
"1050","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Not Receiving Benefits",212.94
"1051","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Not Receiving Benefits",223.19
"1052","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Not Receiving Benefits",252.86
"1053","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Not Receiving Benefits",363.43
"1054","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Not Receiving Benefits",43.7
"1055","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Not Receiving Benefits",43.4
"1056","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Not Receiving Benefits",42.6
"1057","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Not Receiving Benefits",43.3
"1058","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Not Receiving Benefits",42.2
"1059","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Not Receiving Benefits",42
"1060","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Not Receiving Benefits",41.89
"1061","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Not Receiving Benefits",42.4
"1062","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Not Receiving Benefits",42.3
"1063","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Not Receiving Benefits",42.9
"1064","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Not Receiving Benefits",42
"1065","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Not Receiving Benefits",41.2
"1066","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Not Receiving Benefits",43
"1067","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Not Receiving Benefits",41.27
"1068","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Not Receiving Benefits",55.12
"1069","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Not Receiving Benefits",63.35
"1070","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Not Receiving Benefits",73.19
"1071","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Not Receiving Benefits",88.41
"1072","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Not Receiving Benefits",108.32
"1073","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Not Receiving Benefits",128.62
"1074","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Not Receiving Benefits",145.7
"1075","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Not Receiving Benefits",159.25
"1076","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Not Receiving Benefits",182.87
"1077","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Not Receiving Benefits",207.78
"1078","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Not Receiving Benefits",234.22
"1079","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Not Receiving Benefits",352.43
"1080","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Not Receiving Benefits",43.7
"1081","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Not Receiving Benefits",43
"1082","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Not Receiving Benefits",42.7
"1083","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Not Receiving Benefits",41.7
"1084","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Not Receiving Benefits",41.5
"1085","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Not Receiving Benefits",41.4
"1086","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Not Receiving Benefits",41.22
"1087","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Not Receiving Benefits",41.3
"1088","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Not Receiving Benefits",41.4
"1089","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Not Receiving Benefits",40.8
"1090","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Not Receiving Benefits",41.2
"1091","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Not Receiving Benefits",41.7
"1092","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Not Receiving Benefits",44.8
"1093","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Not Receiving Benefits",NA
"1094","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Not Receiving Benefits",NA
"1095","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Not Receiving Benefits",NA
"1096","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Not Receiving Benefits",NA
"1097","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Not Receiving Benefits",NA
"1098","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Not Receiving Benefits",NA
"1099","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Not Receiving Benefits",NA
"1100","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Not Receiving Benefits",NA
"1101","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Not Receiving Benefits",NA
"1102","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Not Receiving Benefits",NA
"1103","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Not Receiving Benefits",NA
"1104","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Not Receiving Benefits",NA
"1105","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Not Receiving Benefits",NA
"1106","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Not Receiving Benefits",NA
"1107","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Not Receiving Benefits",NA
"1108","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Not Receiving Benefits",NA
"1109","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Not Receiving Benefits",NA
"1110","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Not Receiving Benefits",NA
"1111","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Not Receiving Benefits",NA
"1112","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Not Receiving Benefits",NA
"1113","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Not Receiving Benefits",NA
"1114","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Not Receiving Benefits",NA
"1115","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Not Receiving Benefits",NA
"1116","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Not Receiving Benefits",NA
"1117","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Not Receiving Benefits",NA
"1118","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Not Receiving Benefits",NA
"1119","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Not Receiving Benefits",NA
"1120","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Not Receiving Benefits",NA
"1121","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Not Receiving Benefits",NA
"1122","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Not Receiving Benefits",NA
"1123","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Not Receiving Benefits",NA
"1124","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Not Receiving Benefits",NA
"1125","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Not Receiving Benefits",NA
"1126","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Not Receiving Benefits",NA
"1127","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Not Receiving Benefits",NA
"1128","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Not Receiving Benefits",NA
"1129","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Not Receiving Benefits",NA
"1130","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Not Receiving Benefits",NA
"1131","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Not Receiving Benefits",NA
"1132","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Not Receiving Benefits",NA
"1133","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Not Receiving Benefits",NA
"1134","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Not Receiving Benefits",NA
"1135","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Not Receiving Benefits",NA
"1136","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Not Receiving Benefits",NA
"1137","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Not Receiving Benefits",NA
"1138","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Not Receiving Benefits",NA
"1139","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Not Receiving Benefits",NA
"1140","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Not Receiving Benefits",NA
"1141","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Not Receiving Benefits",NA
"1142","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Not Receiving Benefits",NA
"1143","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Not Receiving Benefits",NA
"1144","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Not Receiving Benefits",NA
"1145","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Not Receiving Benefits",NA
"1146","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Not Receiving Benefits",NA
"1147","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Not Receiving Benefits",NA
"1148","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Not Receiving Benefits",NA
"1149","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Not Receiving Benefits",NA
"1150","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Not Receiving Benefits",NA
"1151","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Not Receiving Benefits",NA
"1152","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Not Receiving Benefits",NA
"1153","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Not Receiving Benefits",NA
"1154","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Not Receiving Benefits",NA
"1155","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Not Receiving Benefits",NA
"1156","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Not Receiving Benefits",NA
"1157","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Not Receiving Benefits",NA
"1158","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Not Receiving Benefits",NA
"1159","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Not Receiving Benefits",NA
"1160","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Not Receiving Benefits",NA
"1161","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Not Receiving Benefits",NA
"1162","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Not Receiving Benefits",NA
"1163","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Not Receiving Benefits",NA
"1164","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Not Receiving Benefits",NA
"1165","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Not Receiving Benefits",NA
"1166","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Not Receiving Benefits",NA
"1167","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Not Receiving Benefits",NA
"1168","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Not Receiving Benefits",NA
"1169","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Not Receiving Benefits",NA
"1170","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Not Receiving Benefits",NA
