"","Year","Type.of.Land.Use","Region","value"
"728","2004","Maize silage","Border",1.2
"729","2005","Maize silage","Border",1.7
"730","2006","Maize silage","Border",2.4
"731","2007","Maize silage","Border",2.4
"732","1991","Fodder rape and kale","Border",NA
"733","1992","Fodder rape and kale","Border",NA
"734","1993","Fodder rape and kale","Border",NA
"735","1994","Fodder rape and kale","Border",NA
"736","1995","Fodder rape and kale","Border",NA
"737","1996","Fodder rape and kale","Border",NA
"738","1997","Fodder rape and kale","Border",NA
"739","1998","Fodder rape and kale","Border",NA
"740","1999","Fodder rape and kale","Border",NA
"741","2000","Fodder rape and kale","Border",0.1
"742","2001","Fodder rape and kale","Border",0.1
"743","2002","Fodder rape and kale","Border",0.1
"744","2003","Fodder rape and kale","Border",0.2
"745","2004","Fodder rape and kale","Border",0.3
"746","2005","Fodder rape and kale","Border",0.1
"747","2006","Fodder rape and kale","Border",0.1
"748","2007","Fodder rape and kale","Border",0.1
"749","1991","Potatoes","Border",5
"750","1992","Potatoes","Border",4.7
"751","1993","Potatoes","Border",4.7
"752","1994","Potatoes","Border",4.7
"753","1995","Potatoes","Border",4.8
"754","1996","Potatoes","Border",5.3
"755","1997","Potatoes","Border",4.4
"756","1998","Potatoes","Border",4.1
"757","1999","Potatoes","Border",4.5
"758","2000","Potatoes","Border",3.5
"759","2001","Potatoes","Border",3.6
"760","2002","Potatoes","Border",3.9
"761","2003","Potatoes","Border",3.4
"762","2004","Potatoes","Border",3.4
"763","2005","Potatoes","Border",2.7
"764","2006","Potatoes","Border",2.4
"765","2007","Potatoes","Border",3
"766","1991","Turnips","Border",0.2
"767","1992","Turnips","Border",0.3
"768","1993","Turnips","Border",0.3
"769","1994","Turnips","Border",0.2
"770","1995","Turnips","Border",0.4
"771","1996","Turnips","Border",0.6
"772","1997","Turnips","Border",0.3
"773","1998","Turnips","Border",0.3
"774","1999","Turnips","Border",0.3
"775","2000","Turnips","Border",0.1
"776","2001","Turnips","Border",0.1
"777","2002","Turnips","Border",0.1
"778","2003","Turnips","Border",0
"779","2004","Turnips","Border",0
"780","2005","Turnips","Border",0
"781","2006","Turnips","Border",0
"782","2007","Turnips","Border",0
"783","1991","Beet","Border",0.4
"784","1992","Beet","Border",0.4
"785","1993","Beet","Border",0.4
"786","1994","Beet","Border",0.3
"787","1995","Beet","Border",0.3
"788","1996","Beet","Border",0.3
"789","1997","Beet","Border",0.4
"790","1998","Beet","Border",0.3
"791","1999","Beet","Border",0.3
"792","2000","Beet","Border",0.3
"793","2001","Beet","Border",0.2
"794","2002","Beet","Border",0.2
"795","2003","Beet","Border",0.2
"796","2004","Beet","Border",0.2
"797","2005","Beet","Border",0.2
"798","2006","Beet","Border",0.1
"799","2007","Beet","Border",0.1
"800","1991","Sugar beet","Border",0.1
"801","1992","Sugar beet","Border",0.1
"802","1993","Sugar beet","Border",0.1
"803","1994","Sugar beet","Border",0
"804","1995","Sugar beet","Border",0
"805","1996","Sugar beet","Border",0
"806","1997","Sugar beet","Border",0
"807","1998","Sugar beet","Border",0
"808","1999","Sugar beet","Border",0
"809","2000","Sugar beet","Border",0.2
"810","2001","Sugar beet","Border",0.1
"811","2002","Sugar beet","Border",0.1
"812","2003","Sugar beet","Border",0.1
"813","2004","Sugar beet","Border",0.1
"814","2005","Sugar beet","Border",0.1
"815","2006","Sugar beet","Border",0
"816","2007","Sugar beet","Border",NA
"817","1991","Fodder beet","Border",0.3
"818","1992","Fodder beet","Border",0.3
"819","1993","Fodder beet","Border",0.3
"820","1994","Fodder beet","Border",0.3
"821","1995","Fodder beet","Border",0.3
"822","1996","Fodder beet","Border",0.3
"823","1997","Fodder beet","Border",0.4
"824","1998","Fodder beet","Border",0.3
"825","1999","Fodder beet","Border",0.3
"826","2000","Fodder beet","Border",0.1
"827","2001","Fodder beet","Border",0.1
"828","2002","Fodder beet","Border",0.1
"829","2003","Fodder beet","Border",0.1
"830","2004","Fodder beet","Border",0.1
"831","2005","Fodder beet","Border",0.1
"832","2006","Fodder beet","Border",0.1
"833","2007","Fodder beet","Border",NA
"834","1991","Kale and field cabbage","Border",0
"835","1992","Kale and field cabbage","Border",0.1
"836","1993","Kale and field cabbage","Border",0
"837","1994","Kale and field cabbage","Border",0
"838","1995","Kale and field cabbage","Border",0
"839","1996","Kale and field cabbage","Border",0
"840","1997","Kale and field cabbage","Border",0
"841","1998","Kale and field cabbage","Border",0
"842","1999","Kale and field cabbage","Border",0
"843","2000","Kale and field cabbage","Border",NA
"844","2001","Kale and field cabbage","Border",NA
"845","2002","Kale and field cabbage","Border",NA
"846","2003","Kale and field cabbage","Border",NA
"847","2004","Kale and field cabbage","Border",NA
"848","2005","Kale and field cabbage","Border",NA
"849","2006","Kale and field cabbage","Border",NA
"850","2007","Kale and field cabbage","Border",NA
"851","1991","Vegetables for sale","Border",0.1
"852","1992","Vegetables for sale","Border",0.2
"853","1993","Vegetables for sale","Border",0.1
"854","1994","Vegetables for sale","Border",0.1
"855","1995","Vegetables for sale","Border",0.1
"856","1996","Vegetables for sale","Border",0.1
"857","1997","Vegetables for sale","Border",0.1
"858","1998","Vegetables for sale","Border",0.1
"859","1999","Vegetables for sale","Border",0.1
"860","2000","Vegetables for sale","Border",0.2
"861","2001","Vegetables for sale","Border",0.2
"862","2002","Vegetables for sale","Border",0.2
"863","2003","Vegetables for sale","Border",0.3
"864","2004","Vegetables for sale","Border",0.3
"865","2005","Vegetables for sale","Border",0.2
"866","2006","Vegetables for sale","Border",0.2
"867","2007","Vegetables for sale","Border",0.4
"868","1991","Fruit","Border",0.1
"869","1992","Fruit","Border",0.1
"870","1993","Fruit","Border",0.1
"871","1994","Fruit","Border",0.1
"872","1995","Fruit","Border",0.1
"873","1996","Fruit","Border",0.1
"874","1997","Fruit","Border",0.1
"875","1998","Fruit","Border",0.1
"876","1999","Fruit","Border",0.1
"877","2000","Fruit","Border",0.1
"878","2001","Fruit","Border",0.1
"879","2002","Fruit","Border",0.1
"880","2003","Fruit","Border",0.1
"881","2004","Fruit","Border",0.1
"882","2005","Fruit","Border",0.1
"883","2006","Fruit","Border",0.1
"884","2007","Fruit","Border",0.1
"885","1991","Nurseries, horticulture etc.","Border",0
"886","1992","Nurseries, horticulture etc.","Border",0
"887","1993","Nurseries, horticulture etc.","Border",0
"888","1994","Nurseries, horticulture etc.","Border",0
"889","1995","Nurseries, horticulture etc.","Border",0
"890","1996","Nurseries, horticulture etc.","Border",0
"891","1997","Nurseries, horticulture etc.","Border",0
"892","1998","Nurseries, horticulture etc.","Border",0.1
"893","1999","Nurseries, horticulture etc.","Border",0.1
"894","2000","Nurseries, horticulture etc.","Border",0.1
"895","2001","Nurseries, horticulture etc.","Border",0.1
"896","2002","Nurseries, horticulture etc.","Border",0.1
"897","2003","Nurseries, horticulture etc.","Border",0.1
"898","2004","Nurseries, horticulture etc.","Border",0.1
"899","2005","Nurseries, horticulture etc.","Border",0.1
"900","2006","Nurseries, horticulture etc.","Border",0.1
"901","2007","Nurseries, horticulture etc.","Border",0.1
"902","1991","Other crops","Border",0.5
"903","1992","Other crops","Border",0.9
"904","1993","Other crops","Border",2.7
"905","1994","Other crops","Border",3.4
"906","1995","Other crops","Border",2.9
"907","1996","Other crops","Border",2.7
"908","1997","Other crops","Border",2.2
"909","1998","Other crops","Border",2.1
"910","1999","Other crops","Border",3.5
"911","2000","Other crops","Border",2.3
"912","2001","Other crops","Border",2.3
"913","2002","Other crops","Border",2.3
"914","2003","Other crops","Border",2.6
"915","2004","Other crops","Border",1.9
"916","2005","Other crops","Border",2.6
"917","2006","Other crops","Border",3
"918","2007","Other crops","Border",2.4
"919","1991","Total cereals","Border",25.1
"920","1992","Total cereals","Border",26.5
"921","1993","Total cereals","Border",24.4
"922","1994","Total cereals","Border",23.8
"923","1995","Total cereals","Border",22.5
"924","1996","Total cereals","Border",22.2
"925","1997","Total cereals","Border",25.7
"926","1998","Total cereals","Border",24.7
"927","1999","Total cereals","Border",26.3
"928","2000","Total cereals","Border",26
"929","2001","Total cereals","Border",25.4
"930","2002","Total cereals","Border",26.5
"931","2003","Total cereals","Border",27.2
"932","2004","Total cereals","Border",27.2
"933","2005","Total cereals","Border",25.4
"934","2006","Total cereals","Border",24.2
"935","2007","Total cereals","Border",24.7
"936","1991","Total wheat","Border",6.1
"937","1992","Total wheat","Border",7.3
"938","1993","Total wheat","Border",6.5
"939","1994","Total wheat","Border",6.6
"940","1995","Total wheat","Border",5.1
"941","1996","Total wheat","Border",6.1
"942","1997","Total wheat","Border",7.1
"943","1998","Total wheat","Border",7
"944","1999","Total wheat","Border",5.3
"945","2000","Total wheat","Border",7.1
"946","2001","Total wheat","Border",7.4
"947","2002","Total wheat","Border",9.1
"948","2003","Total wheat","Border",7.7
"949","2004","Total wheat","Border",8.7
"950","2005","Total wheat","Border",7.9
"951","2006","Total wheat","Border",7.8
"952","2007","Total wheat","Border",7.8
"953","1991","Winter wheat","Border",5.7
"954","1992","Winter wheat","Border",6.7
"955","1993","Winter wheat","Border",5.9
"956","1994","Winter wheat","Border",5.9
"957","1995","Winter wheat","Border",4.5
"958","1996","Winter wheat","Border",5.5
"959","1997","Winter wheat","Border",6.2
"960","1998","Winter wheat","Border",6
"961","1999","Winter wheat","Border",3.8
"962","2000","Winter wheat","Border",6.6
"963","2001","Winter wheat","Border",6.4
"964","2002","Winter wheat","Border",8.7
"965","2003","Winter wheat","Border",6.8
"966","2004","Winter wheat","Border",8
"967","2005","Winter wheat","Border",7.4
"968","2006","Winter wheat","Border",7.2
"969","2007","Winter wheat","Border",7.3
"970","1991","Spring wheat","Border",0.4
"971","1992","Spring wheat","Border",0.6
"972","1993","Spring wheat","Border",0.6
"973","1994","Spring wheat","Border",0.7
"974","1995","Spring wheat","Border",0.7
"975","1996","Spring wheat","Border",0.6
"976","1997","Spring wheat","Border",0.9
"977","1998","Spring wheat","Border",1
"978","1999","Spring wheat","Border",1.4
"979","2000","Spring wheat","Border",0.5
"980","2001","Spring wheat","Border",0.9
"981","2002","Spring wheat","Border",0.4
"982","2003","Spring wheat","Border",0.9
"983","2004","Spring wheat","Border",0.7
"984","2005","Spring wheat","Border",0.5
"985","2006","Spring wheat","Border",0.6
"986","2007","Spring wheat","Border",0.6
"987","1991","Total oats","Border",1.6
"988","1992","Total oats","Border",1.6
"989","1993","Total oats","Border",1.8
"990","1994","Total oats","Border",1.8
"991","1995","Total oats","Border",1.8
"992","1996","Total oats","Border",1.8
"993","1997","Total oats","Border",2
"994","1998","Total oats","Border",1.7
"995","1999","Total oats","Border",2.4
"996","2000","Total oats","Border",2.2
"997","2001","Total oats","Border",2.2
"998","2002","Total oats","Border",1.9
"999","2003","Total oats","Border",2.5
"1000","2004","Total oats","Border",2
"1001","2005","Total oats","Border",2.1
"1002","2006","Total oats","Border",2.3
"1003","2007","Total oats","Border",2.1
"1004","1991","Winter oats","Border",0.2
"1005","1992","Winter oats","Border",0.3
"1006","1993","Winter oats","Border",0.4
"1007","1994","Winter oats","Border",0.4
"1008","1995","Winter oats","Border",0.3
"1009","1996","Winter oats","Border",0.5
"1010","1997","Winter oats","Border",0.4
"1011","1998","Winter oats","Border",0.4
"1012","1999","Winter oats","Border",0.3
"1013","2000","Winter oats","Border",1
"1014","2001","Winter oats","Border",0.8
"1015","2002","Winter oats","Border",0.7
"1016","2003","Winter oats","Border",0.9
"1017","2004","Winter oats","Border",1.2
"1018","2005","Winter oats","Border",1
"1019","2006","Winter oats","Border",0.8
"1020","2007","Winter oats","Border",1
"1021","1991","Spring oats","Border",1.4
"1022","1992","Spring oats","Border",1.3
"1023","1993","Spring oats","Border",1.4
"1024","1994","Spring oats","Border",1.4
"1025","1995","Spring oats","Border",1.5
"1026","1996","Spring oats","Border",1.3
"1027","1997","Spring oats","Border",1.5
"1028","1998","Spring oats","Border",1.3
"1029","1999","Spring oats","Border",2.2
"1030","2000","Spring oats","Border",1.2
"1031","2001","Spring oats","Border",1.4
"1032","2002","Spring oats","Border",1.1
"1033","2003","Spring oats","Border",1.6
"1034","2004","Spring oats","Border",0.8
"1035","2005","Spring oats","Border",1.1
"1036","2006","Spring oats","Border",1.5
"1037","2007","Spring oats","Border",1.1
"1038","1991","Total barley","Border",17.2
"1039","1992","Total barley","Border",17.1
"1040","1993","Total barley","Border",15.8
"1041","1994","Total barley","Border",15.2
"1042","1995","Total barley","Border",15.2
"1043","1996","Total barley","Border",14.1
"1044","1997","Total barley","Border",16.1
"1045","1998","Total barley","Border",15.4
"1046","1999","Total barley","Border",17.7
"1047","2000","Total barley","Border",16.5
"1048","2001","Total barley","Border",15.7
"1049","2002","Total barley","Border",15.3
"1050","2003","Total barley","Border",16.6
"1051","2004","Total barley","Border",16
"1052","2005","Total barley","Border",15
"1053","2006","Total barley","Border",13.9
"1054","2007","Total barley","Border",14.4
"1055","1991","Winter barley","Border",3.4
"1056","1992","Winter barley","Border",4.7
"1057","1993","Winter barley","Border",4.8
"1058","1994","Winter barley","Border",4
"1059","1995","Winter barley","Border",4.3
"1060","1996","Winter barley","Border",5.4
"1061","1997","Winter barley","Border",5.9
"1062","1998","Winter barley","Border",5.6
"1063","1999","Winter barley","Border",3.4
"1064","2000","Winter barley","Border",3.8
"1065","2001","Winter barley","Border",4
"1066","2002","Winter barley","Border",4.3
"1067","2003","Winter barley","Border",3.9
"1068","2004","Winter barley","Border",4.2
"1069","2005","Winter barley","Border",3.6
