"","Year","Farm.Land.Utilisation","Rural.District","value"
"632","1980","Potatoes","Co. Carlow",531
"633","1926","Turnips","Co. Carlow",2119
"634","1933","Turnips","Co. Carlow",1874
"635","1955","Turnips","Co. Carlow",1649
"636","1960","Turnips","Co. Carlow",1263
"637","1965","Turnips","Co. Carlow",1969
"638","1970","Turnips","Co. Carlow",2125
"639","1975","Turnips","Co. Carlow",1190
"640","1980","Turnips","Co. Carlow",850
"641","1926","Sugar beet","Co. Carlow",799
"642","1933","Sugar beet","Co. Carlow",1486
"643","1955","Sugar beet","Co. Carlow",2220
"644","1960","Sugar beet","Co. Carlow",2420
"645","1965","Sugar beet","Co. Carlow",1958
"646","1970","Sugar beet","Co. Carlow",2205
"647","1975","Sugar beet","Co. Carlow",3294
"648","1980","Sugar beet","Co. Carlow",3173
"649","1926","Other root and green crops","Co. Carlow",1009
"650","1933","Other root and green crops","Co. Carlow",862
"651","1955","Other root and green crops","Co. Carlow",905
"652","1960","Other root and green crops","Co. Carlow",1190
"653","1965","Other root and green crops","Co. Carlow",752
"654","1970","Other root and green crops","Co. Carlow",683
"655","1975","Other root and green crops","Co. Carlow",501
"656","1980","Other root and green crops","Co. Carlow",640
"657","1926","Fruit and horticulture","Co. Carlow",29
"658","1933","Fruit and horticulture","Co. Carlow",37
"659","1955","Fruit and horticulture","Co. Carlow",84
"660","1960","Fruit and horticulture","Co. Carlow",85
"661","1965","Fruit and horticulture","Co. Carlow",66
"662","1970","Fruit and horticulture","Co. Carlow",49
"663","1975","Fruit and horticulture","Co. Carlow",44
"664","1980","Fruit and horticulture","Co. Carlow",38
"665","1926","Apples","Co. Carlow",NA
"666","1933","Apples","Co. Carlow",NA
"667","1955","Apples","Co. Carlow",NA
"668","1960","Apples","Co. Carlow",NA
"669","1965","Apples","Co. Carlow",33
"670","1970","Apples","Co. Carlow",22
"671","1975","Apples","Co. Carlow",24
"672","1980","Apples","Co. Carlow",8
"673","1926","Fruit excluding apples","Co. Carlow",NA
"674","1933","Fruit excluding apples","Co. Carlow",NA
"675","1955","Fruit excluding apples","Co. Carlow",NA
"676","1960","Fruit excluding apples","Co. Carlow",NA
"677","1965","Fruit excluding apples","Co. Carlow",20
"678","1970","Fruit excluding apples","Co. Carlow",19
"679","1975","Fruit excluding apples","Co. Carlow",7
"680","1980","Fruit excluding apples","Co. Carlow",12
"681","1926","Horticultural bulbs, flowers and bushes","Co. Carlow",NA
"682","1933","Horticultural bulbs, flowers and bushes","Co. Carlow",NA
"683","1955","Horticultural bulbs, flowers and bushes","Co. Carlow",NA
"684","1960","Horticultural bulbs, flowers and bushes","Co. Carlow",9
"685","1965","Horticultural bulbs, flowers and bushes","Co. Carlow",13
"686","1970","Horticultural bulbs, flowers and bushes","Co. Carlow",8
"687","1975","Horticultural bulbs, flowers and bushes","Co. Carlow",13
"688","1980","Horticultural bulbs, flowers and bushes","Co. Carlow",18
"689","1926","Hay","Co. Carlow",14083
"690","1933","Hay","Co. Carlow",13770
"691","1955","Hay","Co. Carlow",11068
"692","1960","Hay","Co. Carlow",10676
"693","1965","Hay","Co. Carlow",12677
"694","1970","Hay","Co. Carlow",11806
"695","1975","Hay","Co. Carlow",14505
"696","1980","Hay","Co. Carlow",15693
"697","1926","Rye grass for seed","Co. Carlow",NA
"698","1933","Rye grass for seed","Co. Carlow",NA
"699","1955","Rye grass for seed","Co. Carlow",NA
"700","1960","Rye grass for seed","Co. Carlow",104
"701","1965","Rye grass for seed","Co. Carlow",34
"702","1970","Rye grass for seed","Co. Carlow",0
"703","1975","Rye grass for seed","Co. Carlow",0
"704","1980","Rye grass for seed","Co. Carlow",0
"705","1926","First to fourth years hay","Co. Carlow",NA
"706","1933","First to fourth years hay","Co. Carlow",NA
"707","1955","First to fourth years hay","Co. Carlow",NA
"708","1960","First to fourth years hay","Co. Carlow",NA
"709","1965","First to fourth years hay","Co. Carlow",NA
"710","1970","First to fourth years hay","Co. Carlow",NA
"711","1975","First to fourth years hay","Co. Carlow",7592
"712","1980","First to fourth years hay","Co. Carlow",10170
"713","1926","Permanent meadow","Co. Carlow",NA
"714","1933","Permanent meadow","Co. Carlow",NA
"715","1955","Permanent meadow","Co. Carlow",NA
"716","1960","Permanent meadow","Co. Carlow",NA
"717","1965","Permanent meadow","Co. Carlow",NA
"718","1970","Permanent meadow","Co. Carlow",NA
"719","1975","Permanent meadow","Co. Carlow",6913
"720","1980","Permanent meadow","Co. Carlow",5523
"721","1926","Pasture","Co. Carlow",49205
"722","1933","Pasture","Co. Carlow",45140
"723","1955","Pasture","Co. Carlow",44324
"724","1960","Pasture","Co. Carlow",36777
"725","1965","Pasture","Co. Carlow",43944
"726","1970","Pasture","Co. Carlow",44526
"727","1975","Pasture","Co. Carlow",41108
"728","1980","Pasture","Co. Carlow",34443
"729","1926","Rough grazing in use","Co. Carlow",NA
"730","1933","Rough grazing in use","Co. Carlow",NA
"731","1955","Rough grazing in use","Co. Carlow",NA
"732","1960","Rough grazing in use","Co. Carlow",NA
"733","1965","Rough grazing in use","Co. Carlow",NA
"734","1970","Rough grazing in use","Co. Carlow",NA
"735","1975","Rough grazing in use","Co. Carlow",8186
"736","1980","Rough grazing in use","Co. Carlow",7728
"737","1926","Other land","Co. Carlow",NA
"738","1933","Other land","Co. Carlow",NA
"739","1955","Other land","Co. Carlow",NA
"740","1960","Other land","Co. Carlow",NA
"741","1965","Other land","Co. Carlow",NA
"742","1970","Other land","Co. Carlow",NA
"743","1975","Other land","Co. Carlow",6948
"744","1980","Other land","Co. Carlow",6966
"745","1926","Total Area","Baltinglass No.2",13518
"746","1933","Total Area","Baltinglass No.2",13518
"747","1955","Total Area","Baltinglass No.2",13518
"748","1960","Total Area","Baltinglass No.2",13289
"749","1965","Total Area","Baltinglass No.2",13518
"750","1970","Total Area","Baltinglass No.2",13518
"751","1975","Total Area","Baltinglass No.2",13518
"752","1980","Total Area","Baltinglass No.2",13518
"753","1926","Crops, hay, pasture and rough grazing","Baltinglass No.2",NA
"754","1933","Crops, hay, pasture and rough grazing","Baltinglass No.2",NA
"755","1955","Crops, hay, pasture and rough grazing","Baltinglass No.2",NA
"756","1960","Crops, hay, pasture and rough grazing","Baltinglass No.2",NA
"757","1965","Crops, hay, pasture and rough grazing","Baltinglass No.2",NA
"758","1970","Crops, hay, pasture and rough grazing","Baltinglass No.2",NA
"759","1975","Crops, hay, pasture and rough grazing","Baltinglass No.2",12949
"760","1980","Crops, hay, pasture and rough grazing","Baltinglass No.2",12776
"761","1926","Crops, hay and pasture","Baltinglass No.2",12266
"762","1933","Crops, hay and pasture","Baltinglass No.2",12006
"763","1955","Crops, hay and pasture","Baltinglass No.2",10152
"764","1960","Crops, hay and pasture","Baltinglass No.2",9179
"765","1965","Crops, hay and pasture","Baltinglass No.2",11899
"766","1970","Crops, hay and pasture","Baltinglass No.2",11913
"767","1975","Crops, hay and pasture","Baltinglass No.2",11231
"768","1980","Crops, hay and pasture","Baltinglass No.2",11443
"769","1926","Crops including fruit and horticultural","Baltinglass No.2",2809
"770","1933","Crops including fruit and horticultural","Baltinglass No.2",2180
"771","1955","Crops including fruit and horticultural","Baltinglass No.2",2498
"772","1960","Crops including fruit and horticultural","Baltinglass No.2",2810
"773","1965","Crops including fruit and horticultural","Baltinglass No.2",2363
"774","1970","Crops including fruit and horticultural","Baltinglass No.2",2710
"775","1975","Crops including fruit and horticultural","Baltinglass No.2",2530
"776","1980","Crops including fruit and horticultural","Baltinglass No.2",3308
"777","1926","Corn crops","Baltinglass No.2",1536
"778","1933","Corn crops","Baltinglass No.2",1325
"779","1955","Corn crops","Baltinglass No.2",1672
"780","1960","Corn crops","Baltinglass No.2",2091
"781","1965","Corn crops","Baltinglass No.2",1792
"782","1970","Corn crops","Baltinglass No.2",2159
"783","1975","Corn crops","Baltinglass No.2",1903
"784","1980","Corn crops","Baltinglass No.2",2740
"785","1926","Wheat","Baltinglass No.2",6
"786","1933","Wheat","Baltinglass No.2",32
"787","1955","Wheat","Baltinglass No.2",671
"788","1960","Wheat","Baltinglass No.2",1050
"789","1965","Wheat","Baltinglass No.2",431
"790","1970","Wheat","Baltinglass No.2",671
"791","1975","Wheat","Baltinglass No.2",200
"792","1980","Wheat","Baltinglass No.2",153
"793","1926","Spring wheat","Baltinglass No.2",NA
"794","1933","Spring wheat","Baltinglass No.2",NA
"795","1955","Spring wheat","Baltinglass No.2",NA
"796","1960","Spring wheat","Baltinglass No.2",NA
"797","1965","Spring wheat","Baltinglass No.2",NA
"798","1970","Spring wheat","Baltinglass No.2",NA
"799","1975","Spring wheat","Baltinglass No.2",NA
"800","1980","Spring wheat","Baltinglass No.2",105
"801","1926","Winter wheat","Baltinglass No.2",NA
"802","1933","Winter wheat","Baltinglass No.2",NA
"803","1955","Winter wheat","Baltinglass No.2",NA
"804","1960","Winter wheat","Baltinglass No.2",NA
"805","1965","Winter wheat","Baltinglass No.2",NA
"806","1970","Winter wheat","Baltinglass No.2",NA
"807","1975","Winter wheat","Baltinglass No.2",NA
"808","1980","Winter wheat","Baltinglass No.2",48
"809","1926","Oats","Baltinglass No.2",1468
"810","1933","Oats","Baltinglass No.2",1221
"811","1955","Oats","Baltinglass No.2",888
"812","1960","Oats","Baltinglass No.2",583
"813","1965","Oats","Baltinglass No.2",418
"814","1970","Oats","Baltinglass No.2",182
"815","1975","Oats","Baltinglass No.2",121
"816","1980","Oats","Baltinglass No.2",16
"817","1926","Barley","Baltinglass No.2",62
"818","1933","Barley","Baltinglass No.2",72
"819","1955","Barley","Baltinglass No.2",113
"820","1960","Barley","Baltinglass No.2",457
"821","1965","Barley","Baltinglass No.2",923
"822","1970","Barley","Baltinglass No.2",1295
"823","1975","Barley","Baltinglass No.2",1581
"824","1980","Barley","Baltinglass No.2",2562
"825","1926","Malting barley","Baltinglass No.2",NA
"826","1933","Malting barley","Baltinglass No.2",NA
"827","1955","Malting barley","Baltinglass No.2",NA
"828","1960","Malting barley","Baltinglass No.2",53
"829","1965","Malting barley","Baltinglass No.2",50
"830","1970","Malting barley","Baltinglass No.2",55
"831","1975","Malting barley","Baltinglass No.2",36
"832","1980","Malting barley","Baltinglass No.2",0
"833","1926","Other barley","Baltinglass No.2",NA
"834","1933","Other barley","Baltinglass No.2",NA
"835","1955","Other barley","Baltinglass No.2",NA
"836","1960","Other barley","Baltinglass No.2",404
"837","1965","Other barley","Baltinglass No.2",873
"838","1970","Other barley","Baltinglass No.2",1240
"839","1975","Other barley","Baltinglass No.2",1545
"840","1980","Other barley","Baltinglass No.2",2562
"841","1926","Spring barley","Baltinglass No.2",NA
"842","1933","Spring barley","Baltinglass No.2",NA
"843","1955","Spring barley","Baltinglass No.2",NA
"844","1960","Spring barley","Baltinglass No.2",NA
"845","1965","Spring barley","Baltinglass No.2",NA
"846","1970","Spring barley","Baltinglass No.2",NA
"847","1975","Spring barley","Baltinglass No.2",NA
"848","1980","Spring barley","Baltinglass No.2",2476
"849","1926","Winter barley","Baltinglass No.2",NA
"850","1933","Winter barley","Baltinglass No.2",NA
"851","1955","Winter barley","Baltinglass No.2",NA
"852","1960","Winter barley","Baltinglass No.2",NA
"853","1965","Winter barley","Baltinglass No.2",NA
"854","1970","Winter barley","Baltinglass No.2",NA
"855","1975","Winter barley","Baltinglass No.2",NA
"856","1980","Winter barley","Baltinglass No.2",86
"857","1926","Other corn crops","Baltinglass No.2",0
"858","1933","Other corn crops","Baltinglass No.2",0
"859","1955","Other corn crops","Baltinglass No.2",0
"860","1960","Other corn crops","Baltinglass No.2",2
"861","1965","Other corn crops","Baltinglass No.2",20
"862","1970","Other corn crops","Baltinglass No.2",11
"863","1975","Other corn crops","Baltinglass No.2",2
"864","1980","Other corn crops","Baltinglass No.2",9
"865","1926","Root and green crops","Baltinglass No.2",1272
"866","1933","Root and green crops","Baltinglass No.2",854
"867","1955","Root and green crops","Baltinglass No.2",825
"868","1960","Root and green crops","Baltinglass No.2",707
"869","1965","Root and green crops","Baltinglass No.2",565
"870","1970","Root and green crops","Baltinglass No.2",548
"871","1975","Root and green crops","Baltinglass No.2",626
"872","1980","Root and green crops","Baltinglass No.2",568
"873","1926","Potatoes","Baltinglass No.2",596
"874","1933","Potatoes","Baltinglass No.2",386
"875","1955","Potatoes","Baltinglass No.2",227
"876","1960","Potatoes","Baltinglass No.2",171
"877","1965","Potatoes","Baltinglass No.2",91
"878","1970","Potatoes","Baltinglass No.2",70
"879","1975","Potatoes","Baltinglass No.2",61
"880","1980","Potatoes","Baltinglass No.2",59
"881","1926","Turnips","Baltinglass No.2",350
"882","1933","Turnips","Baltinglass No.2",296
"883","1955","Turnips","Baltinglass No.2",187
"884","1960","Turnips","Baltinglass No.2",135
"885","1965","Turnips","Baltinglass No.2",178
"886","1970","Turnips","Baltinglass No.2",198
"887","1975","Turnips","Baltinglass No.2",170
"888","1980","Turnips","Baltinglass No.2",83
"889","1926","Sugar beet","Baltinglass No.2",107
"890","1933","Sugar beet","Baltinglass No.2",62
"891","1955","Sugar beet","Baltinglass No.2",290
"892","1960","Sugar beet","Baltinglass No.2",251
"893","1965","Sugar beet","Baltinglass No.2",221
"894","1970","Sugar beet","Baltinglass No.2",216
"895","1975","Sugar beet","Baltinglass No.2",379
"896","1980","Sugar beet","Baltinglass No.2",390
"897","1926","Other root and green crops","Baltinglass No.2",219
"898","1933","Other root and green crops","Baltinglass No.2",110
"899","1955","Other root and green crops","Baltinglass No.2",122
"900","1960","Other root and green crops","Baltinglass No.2",150
"901","1965","Other root and green crops","Baltinglass No.2",75
"902","1970","Other root and green crops","Baltinglass No.2",64
"903","1975","Other root and green crops","Baltinglass No.2",16
"904","1980","Other root and green crops","Baltinglass No.2",36
"905","1926","Fruit and horticulture","Baltinglass No.2",1
"906","1933","Fruit and horticulture","Baltinglass No.2",1
"907","1955","Fruit and horticulture","Baltinglass No.2",1
"908","1960","Fruit and horticulture","Baltinglass No.2",11
"909","1965","Fruit and horticulture","Baltinglass No.2",6
"910","1970","Fruit and horticulture","Baltinglass No.2",3
"911","1975","Fruit and horticulture","Baltinglass No.2",0
"912","1980","Fruit and horticulture","Baltinglass No.2",0
"913","1926","Apples","Baltinglass No.2",NA
"914","1933","Apples","Baltinglass No.2",NA
"915","1955","Apples","Baltinglass No.2",NA
"916","1960","Apples","Baltinglass No.2",NA
"917","1965","Apples","Baltinglass No.2",5
"918","1970","Apples","Baltinglass No.2",1
"919","1975","Apples","Baltinglass No.2",0
"920","1980","Apples","Baltinglass No.2",0
"921","1926","Fruit excluding apples","Baltinglass No.2",NA
