"","Region","Year","Statistic","value"
"451","State","2004","Livestock - Pigs (Euro Million)",297.46
"452","Dublin plus Mid East","2004","Livestock - Pigs (Euro Million)",14.41
"453","Border, Midland and Western","2004","Livestock - Pigs (Euro Million)",137.34
"454","Border","2004","Livestock - Pigs (Euro Million)",67.82
"455","Midland","2004","Livestock - Pigs (Euro Million)",58.72
"456","West","2004","Livestock - Pigs (Euro Million)",10.8
"457","Southern and Eastern","2004","Livestock - Pigs (Euro Million)",160.12
"458","Mid-West","2004","Livestock - Pigs (Euro Million)",20.06
"459","South-East","2004","Livestock - Pigs (Euro Million)",59.28
"460","South-West","2004","Livestock - Pigs (Euro Million)",66.37
"461","State","2005","Livestock - Pigs (Euro Million)",292.94
"462","Dublin plus Mid East","2005","Livestock - Pigs (Euro Million)",13.91
"463","Border, Midland and Western","2005","Livestock - Pigs (Euro Million)",138.22
"464","Border","2005","Livestock - Pigs (Euro Million)",90.58
"465","Midland","2005","Livestock - Pigs (Euro Million)",39.45
"466","West","2005","Livestock - Pigs (Euro Million)",8.19
"467","Southern and Eastern","2005","Livestock - Pigs (Euro Million)",154.72
"468","Mid-West","2005","Livestock - Pigs (Euro Million)",17.61
"469","South-East","2005","Livestock - Pigs (Euro Million)",57.45
"470","South-West","2005","Livestock - Pigs (Euro Million)",65.74
"471","State","2006","Livestock - Pigs (Euro Million)",321.47
"472","Dublin plus Mid East","2006","Livestock - Pigs (Euro Million)",14.73
"473","Border, Midland and Western","2006","Livestock - Pigs (Euro Million)",156.7
"474","Border","2006","Livestock - Pigs (Euro Million)",104.71
"475","Midland","2006","Livestock - Pigs (Euro Million)",41.52
"476","West","2006","Livestock - Pigs (Euro Million)",10.46
"477","Southern and Eastern","2006","Livestock - Pigs (Euro Million)",164.77
"478","Mid-West","2006","Livestock - Pigs (Euro Million)",22.62
"479","South-East","2006","Livestock - Pigs (Euro Million)",60.62
"480","South-West","2006","Livestock - Pigs (Euro Million)",66.79
"481","State","2007","Livestock - Pigs (Euro Million)",292.04
"482","Dublin plus Mid East","2007","Livestock - Pigs (Euro Million)",14.77
"483","Border, Midland and Western","2007","Livestock - Pigs (Euro Million)",136.94
"484","Border","2007","Livestock - Pigs (Euro Million)",86.14
"485","Midland","2007","Livestock - Pigs (Euro Million)",40.76
"486","West","2007","Livestock - Pigs (Euro Million)",10.04
"487","Southern and Eastern","2007","Livestock - Pigs (Euro Million)",155.11
"488","Mid-West","2007","Livestock - Pigs (Euro Million)",17.31
"489","South-East","2007","Livestock - Pigs (Euro Million)",58.17
"490","South-West","2007","Livestock - Pigs (Euro Million)",64.86
"491","State","2008","Livestock - Pigs (Euro Million)",331.13
"492","Dublin plus Mid East","2008","Livestock - Pigs (Euro Million)",14.77
"493","Border, Midland and Western","2008","Livestock - Pigs (Euro Million)",149.46
"494","Border","2008","Livestock - Pigs (Euro Million)",100.26
"495","Midland","2008","Livestock - Pigs (Euro Million)",38.12
"496","West","2008","Livestock - Pigs (Euro Million)",11.08
"497","Southern and Eastern","2008","Livestock - Pigs (Euro Million)",181.67
"498","Mid-West","2008","Livestock - Pigs (Euro Million)",18.27
"499","South-East","2008","Livestock - Pigs (Euro Million)",68.97
"500","South-West","2008","Livestock - Pigs (Euro Million)",79.67
"501","State","2009","Livestock - Pigs (Euro Million)",300.18
"502","Dublin plus Mid East","2009","Livestock - Pigs (Euro Million)",15.89
"503","Border, Midland and Western","2009","Livestock - Pigs (Euro Million)",157
"504","Border","2009","Livestock - Pigs (Euro Million)",95.7
"505","Midland","2009","Livestock - Pigs (Euro Million)",50.28
"506","West","2009","Livestock - Pigs (Euro Million)",11.02
"507","Southern and Eastern","2009","Livestock - Pigs (Euro Million)",143.18
"508","Mid-West","2009","Livestock - Pigs (Euro Million)",20.94
"509","South-East","2009","Livestock - Pigs (Euro Million)",57.73
"510","South-West","2009","Livestock - Pigs (Euro Million)",48.61
"511","State","2010","Livestock - Pigs (Euro Million)",333.67
"512","Dublin plus Mid East","2010","Livestock - Pigs (Euro Million)",16.64
"513","Border, Midland and Western","2010","Livestock - Pigs (Euro Million)",161.54
"514","Border","2010","Livestock - Pigs (Euro Million)",91.07
"515","Midland","2010","Livestock - Pigs (Euro Million)",59.8
"516","West","2010","Livestock - Pigs (Euro Million)",10.68
"517","Southern and Eastern","2010","Livestock - Pigs (Euro Million)",172.13
"518","Mid-West","2010","Livestock - Pigs (Euro Million)",20.68
"519","South-East","2010","Livestock - Pigs (Euro Million)",69.51
"520","South-West","2010","Livestock - Pigs (Euro Million)",65.29
"521","State","2011","Livestock - Pigs (Euro Million)",394.24
"522","Dublin plus Mid East","2011","Livestock - Pigs (Euro Million)",19.66
"523","Border, Midland and Western","2011","Livestock - Pigs (Euro Million)",189.89
"524","Border","2011","Livestock - Pigs (Euro Million)",109.78
"525","Midland","2011","Livestock - Pigs (Euro Million)",68.27
"526","West","2011","Livestock - Pigs (Euro Million)",11.84
"527","Southern and Eastern","2011","Livestock - Pigs (Euro Million)",204.35
"528","Mid-West","2011","Livestock - Pigs (Euro Million)",25.2
"529","South-East","2011","Livestock - Pigs (Euro Million)",80.58
"530","South-West","2011","Livestock - Pigs (Euro Million)",78.91
"531","State","2012","Livestock - Pigs (Euro Million)",441.53
"532","Dublin plus Mid East","2012","Livestock - Pigs (Euro Million)",20.61
"533","Border, Midland and Western","2012","Livestock - Pigs (Euro Million)",211.1
"534","Border","2012","Livestock - Pigs (Euro Million)",120.74
"535","Midland","2012","Livestock - Pigs (Euro Million)",76.27
"536","West","2012","Livestock - Pigs (Euro Million)",14.08
"537","Southern and Eastern","2012","Livestock - Pigs (Euro Million)",230.44
"538","Mid-West","2012","Livestock - Pigs (Euro Million)",28.11
"539","South-East","2012","Livestock - Pigs (Euro Million)",86.05
"540","South-West","2012","Livestock - Pigs (Euro Million)",95.67
"541","State","1995","Livestock - Sheep (Euro Million)",190.73
"542","Dublin plus Mid East","1995","Livestock - Sheep (Euro Million)",27.5
"543","Border, Midland and Western","1995","Livestock - Sheep (Euro Million)",94.87
"544","Border","1995","Livestock - Sheep (Euro Million)",33.05
"545","Midland","1995","Livestock - Sheep (Euro Million)",14.26
"546","West","1995","Livestock - Sheep (Euro Million)",47.56
"547","Southern and Eastern","1995","Livestock - Sheep (Euro Million)",95.85
"548","Mid-West","1995","Livestock - Sheep (Euro Million)",7.38
"549","South-East","1995","Livestock - Sheep (Euro Million)",34.77
"550","South-West","1995","Livestock - Sheep (Euro Million)",26.2
"551","State","1996","Livestock - Sheep (Euro Million)",241.77
"552","Dublin plus Mid East","1996","Livestock - Sheep (Euro Million)",34.31
"553","Border, Midland and Western","1996","Livestock - Sheep (Euro Million)",121.54
"554","Border","1996","Livestock - Sheep (Euro Million)",42.75
"555","Midland","1996","Livestock - Sheep (Euro Million)",17.24
"556","West","1996","Livestock - Sheep (Euro Million)",61.55
"557","Southern and Eastern","1996","Livestock - Sheep (Euro Million)",120.22
"558","Mid-West","1996","Livestock - Sheep (Euro Million)",9.08
"559","South-East","1996","Livestock - Sheep (Euro Million)",43.21
"560","South-West","1996","Livestock - Sheep (Euro Million)",33.62
"561","State","1997","Livestock - Sheep (Euro Million)",229.98
"562","Dublin plus Mid East","1997","Livestock - Sheep (Euro Million)",32.37
"563","Border, Midland and Western","1997","Livestock - Sheep (Euro Million)",116.96
"564","Border","1997","Livestock - Sheep (Euro Million)",41.19
"565","Midland","1997","Livestock - Sheep (Euro Million)",16.81
"566","West","1997","Livestock - Sheep (Euro Million)",58.95
"567","Southern and Eastern","1997","Livestock - Sheep (Euro Million)",113.03
"568","Mid-West","1997","Livestock - Sheep (Euro Million)",8.37
"569","South-East","1997","Livestock - Sheep (Euro Million)",40.4
"570","South-West","1997","Livestock - Sheep (Euro Million)",31.89
"571","State","1998","Livestock - Sheep (Euro Million)",213.99
"572","Dublin plus Mid East","1998","Livestock - Sheep (Euro Million)",29.45
"573","Border, Midland and Western","1998","Livestock - Sheep (Euro Million)",110.48
"574","Border","1998","Livestock - Sheep (Euro Million)",39.34
"575","Midland","1998","Livestock - Sheep (Euro Million)",15.95
"576","West","1998","Livestock - Sheep (Euro Million)",55.18
"577","Southern and Eastern","1998","Livestock - Sheep (Euro Million)",103.51
"578","Mid-West","1998","Livestock - Sheep (Euro Million)",7.98
"579","South-East","1998","Livestock - Sheep (Euro Million)",36.58
"580","South-West","1998","Livestock - Sheep (Euro Million)",29.5
"581","State","1999","Livestock - Sheep (Euro Million)",197.97
"582","Dublin plus Mid East","1999","Livestock - Sheep (Euro Million)",29.13
"583","Border, Midland and Western","1999","Livestock - Sheep (Euro Million)",100.57
"584","Border","1999","Livestock - Sheep (Euro Million)",35.18
"585","Midland","1999","Livestock - Sheep (Euro Million)",15.1
"586","West","1999","Livestock - Sheep (Euro Million)",50.3
"587","Southern and Eastern","1999","Livestock - Sheep (Euro Million)",97.39
"588","Mid-West","1999","Livestock - Sheep (Euro Million)",6.96
"589","South-East","1999","Livestock - Sheep (Euro Million)",34.67
"590","South-West","1999","Livestock - Sheep (Euro Million)",26.63
"591","State","2000","Livestock - Sheep (Euro Million)",203.47
"592","Dublin plus Mid East","2000","Livestock - Sheep (Euro Million)",30.38
"593","Border, Midland and Western","2000","Livestock - Sheep (Euro Million)",104.57
"594","Border","2000","Livestock - Sheep (Euro Million)",36.18
"595","Midland","2000","Livestock - Sheep (Euro Million)",15.67
"596","West","2000","Livestock - Sheep (Euro Million)",52.71
"597","Southern and Eastern","2000","Livestock - Sheep (Euro Million)",98.91
"598","Mid-West","2000","Livestock - Sheep (Euro Million)",7.26
"599","South-East","2000","Livestock - Sheep (Euro Million)",36.14
"600","South-West","2000","Livestock - Sheep (Euro Million)",25.12
"601","State","2001","Livestock - Sheep (Euro Million)",284.4
"602","Dublin plus Mid East","2001","Livestock - Sheep (Euro Million)",41.91
"603","Border, Midland and Western","2001","Livestock - Sheep (Euro Million)",148.69
"604","Border","2001","Livestock - Sheep (Euro Million)",51.64
"605","Midland","2001","Livestock - Sheep (Euro Million)",22.13
"606","West","2001","Livestock - Sheep (Euro Million)",74.92
"607","Southern and Eastern","2001","Livestock - Sheep (Euro Million)",135.72
"608","Mid-West","2001","Livestock - Sheep (Euro Million)",9.75
"609","South-East","2001","Livestock - Sheep (Euro Million)",49.58
"610","South-West","2001","Livestock - Sheep (Euro Million)",34.48
"611","State","2002","Livestock - Sheep (Euro Million)",202.18
"612","Dublin plus Mid East","2002","Livestock - Sheep (Euro Million)",29.62
"613","Border, Midland and Western","2002","Livestock - Sheep (Euro Million)",105.64
"614","Border","2002","Livestock - Sheep (Euro Million)",36.05
"615","Midland","2002","Livestock - Sheep (Euro Million)",15.65
"616","West","2002","Livestock - Sheep (Euro Million)",53.94
"617","Southern and Eastern","2002","Livestock - Sheep (Euro Million)",96.53
"618","Mid-West","2002","Livestock - Sheep (Euro Million)",6.95
"619","South-East","2002","Livestock - Sheep (Euro Million)",35.05
"620","South-West","2002","Livestock - Sheep (Euro Million)",24.9
"621","State","2003","Livestock - Sheep (Euro Million)",193.28
"622","Dublin plus Mid East","2003","Livestock - Sheep (Euro Million)",29.24
"623","Border, Midland and Western","2003","Livestock - Sheep (Euro Million)",101.18
"624","Border","2003","Livestock - Sheep (Euro Million)",35
"625","Midland","2003","Livestock - Sheep (Euro Million)",14.57
"626","West","2003","Livestock - Sheep (Euro Million)",51.61
"627","Southern and Eastern","2003","Livestock - Sheep (Euro Million)",92.1
"628","Mid-West","2003","Livestock - Sheep (Euro Million)",6.31
"629","South-East","2003","Livestock - Sheep (Euro Million)",32.01
"630","South-West","2003","Livestock - Sheep (Euro Million)",24.55
"631","State","2004","Livestock - Sheep (Euro Million)",200.44
"632","Dublin plus Mid East","2004","Livestock - Sheep (Euro Million)",29.54
"633","Border, Midland and Western","2004","Livestock - Sheep (Euro Million)",104.95
"634","Border","2004","Livestock - Sheep (Euro Million)",36.7
"635","Midland","2004","Livestock - Sheep (Euro Million)",15
"636","West","2004","Livestock - Sheep (Euro Million)",53.25
"637","Southern and Eastern","2004","Livestock - Sheep (Euro Million)",95.5
"638","Mid-West","2004","Livestock - Sheep (Euro Million)",6.29
"639","South-East","2004","Livestock - Sheep (Euro Million)",34.14
"640","South-West","2004","Livestock - Sheep (Euro Million)",25.53
"641","State","2005","Livestock - Sheep (Euro Million)",194.23
"642","Dublin plus Mid East","2005","Livestock - Sheep (Euro Million)",29.06
"643","Border, Midland and Western","2005","Livestock - Sheep (Euro Million)",103.04
"644","Border","2005","Livestock - Sheep (Euro Million)",35.66
"645","Midland","2005","Livestock - Sheep (Euro Million)",14.88
"646","West","2005","Livestock - Sheep (Euro Million)",52.5
"647","Southern and Eastern","2005","Livestock - Sheep (Euro Million)",91.19
"648","Mid-West","2005","Livestock - Sheep (Euro Million)",5.98
"649","South-East","2005","Livestock - Sheep (Euro Million)",31.95
"650","South-West","2005","Livestock - Sheep (Euro Million)",24.2
"651","State","2006","Livestock - Sheep (Euro Million)",193.1
"652","Dublin plus Mid East","2006","Livestock - Sheep (Euro Million)",28.91
"653","Border, Midland and Western","2006","Livestock - Sheep (Euro Million)",104.69
"654","Border","2006","Livestock - Sheep (Euro Million)",35.4
"655","Midland","2006","Livestock - Sheep (Euro Million)",16.59
"656","West","2006","Livestock - Sheep (Euro Million)",52.7
"657","Southern and Eastern","2006","Livestock - Sheep (Euro Million)",88.41
"658","Mid-West","2006","Livestock - Sheep (Euro Million)",5.77
"659","South-East","2006","Livestock - Sheep (Euro Million)",30.13
"660","South-West","2006","Livestock - Sheep (Euro Million)",23.59
"661","State","2007","Livestock - Sheep (Euro Million)",184.48
