"","Statistic","Year","Product","value"
"1375","Quanity of Changes in Livestock and  Crops (Thousand)","1998","Vegetables",NA
"1376","Estimated Value of Agricultural Output (Euro Million)","1999","Vegetables",171.8
"1377","Estimated Quantity of Agricultural Output (Thousand)","1999","Vegetables",NA
"1378","Value Index of Agricultural Output (Base 1995=100)","1999","Vegetables",113.9
"1379","Value of Changes in Livestock and Crops (Euro Million)","1999","Vegetables",NA
"1380","Quanity of Changes in Livestock and  Crops (Thousand)","1999","Vegetables",NA
"1381","Estimated Value of Agricultural Output (Euro Million)","2000","Vegetables",190.5
"1382","Estimated Quantity of Agricultural Output (Thousand)","2000","Vegetables",NA
"1383","Value Index of Agricultural Output (Base 1995=100)","2000","Vegetables",114.4
"1384","Value of Changes in Livestock and Crops (Euro Million)","2000","Vegetables",NA
"1385","Quanity of Changes in Livestock and  Crops (Thousand)","2000","Vegetables",NA
"1386","Estimated Value of Agricultural Output (Euro Million)","2001","Vegetables",200.2
"1387","Estimated Quantity of Agricultural Output (Thousand)","2001","Vegetables",NA
"1388","Value Index of Agricultural Output (Base 1995=100)","2001","Vegetables",123.7
"1389","Value of Changes in Livestock and Crops (Euro Million)","2001","Vegetables",NA
"1390","Quanity of Changes in Livestock and  Crops (Thousand)","2001","Vegetables",NA
"1391","Estimated Value of Agricultural Output (Euro Million)","2002","Vegetables",213.2
"1392","Estimated Quantity of Agricultural Output (Thousand)","2002","Vegetables",NA
"1393","Value Index of Agricultural Output (Base 1995=100)","2002","Vegetables",120.3
"1394","Value of Changes in Livestock and Crops (Euro Million)","2002","Vegetables",NA
"1395","Quanity of Changes in Livestock and  Crops (Thousand)","2002","Vegetables",NA
"1396","Estimated Value of Agricultural Output (Euro Million)","2003","Vegetables",NA
"1397","Estimated Quantity of Agricultural Output (Thousand)","2003","Vegetables",NA
"1398","Value Index of Agricultural Output (Base 1995=100)","2003","Vegetables",NA
"1399","Value of Changes in Livestock and Crops (Euro Million)","2003","Vegetables",NA
"1400","Quanity of Changes in Livestock and  Crops (Thousand)","2003","Vegetables",NA
"1401","Estimated Value of Agricultural Output (Euro Million)","1990","Mushrooms",57.1
"1402","Estimated Quantity of Agricultural Output (Thousand)","1990","Mushrooms",37
"1403","Value Index of Agricultural Output (Base 1995=100)","1990","Mushrooms",NA
"1404","Value of Changes in Livestock and Crops (Euro Million)","1990","Mushrooms",NA
"1405","Quanity of Changes in Livestock and  Crops (Thousand)","1990","Mushrooms",NA
"1406","Estimated Value of Agricultural Output (Euro Million)","1991","Mushrooms",63.5
"1407","Estimated Quantity of Agricultural Output (Thousand)","1991","Mushrooms",39
"1408","Value Index of Agricultural Output (Base 1995=100)","1991","Mushrooms",NA
"1409","Value of Changes in Livestock and Crops (Euro Million)","1991","Mushrooms",NA
"1410","Quanity of Changes in Livestock and  Crops (Thousand)","1991","Mushrooms",NA
"1411","Estimated Value of Agricultural Output (Euro Million)","1992","Mushrooms",64.8
"1412","Estimated Quantity of Agricultural Output (Thousand)","1992","Mushrooms",41
"1413","Value Index of Agricultural Output (Base 1995=100)","1992","Mushrooms",NA
"1414","Value of Changes in Livestock and Crops (Euro Million)","1992","Mushrooms",NA
"1415","Quanity of Changes in Livestock and  Crops (Thousand)","1992","Mushrooms",NA
"1416","Estimated Value of Agricultural Output (Euro Million)","1993","Mushrooms",68.1
"1417","Estimated Quantity of Agricultural Output (Thousand)","1993","Mushrooms",45
"1418","Value Index of Agricultural Output (Base 1995=100)","1993","Mushrooms",NA
"1419","Value of Changes in Livestock and Crops (Euro Million)","1993","Mushrooms",NA
"1420","Quanity of Changes in Livestock and  Crops (Thousand)","1993","Mushrooms",NA
"1421","Estimated Value of Agricultural Output (Euro Million)","1994","Mushrooms",76.3
"1422","Estimated Quantity of Agricultural Output (Thousand)","1994","Mushrooms",49
"1423","Value Index of Agricultural Output (Base 1995=100)","1994","Mushrooms",NA
"1424","Value of Changes in Livestock and Crops (Euro Million)","1994","Mushrooms",NA
"1425","Quanity of Changes in Livestock and  Crops (Thousand)","1994","Mushrooms",NA
"1426","Estimated Value of Agricultural Output (Euro Million)","1995","Mushrooms",78
"1427","Estimated Quantity of Agricultural Output (Thousand)","1995","Mushrooms",49
"1428","Value Index of Agricultural Output (Base 1995=100)","1995","Mushrooms",NA
"1429","Value of Changes in Livestock and Crops (Euro Million)","1995","Mushrooms",NA
"1430","Quanity of Changes in Livestock and  Crops (Thousand)","1995","Mushrooms",NA
"1431","Estimated Value of Agricultural Output (Euro Million)","1996","Mushrooms",92.3
"1432","Estimated Quantity of Agricultural Output (Thousand)","1996","Mushrooms",54
"1433","Value Index of Agricultural Output (Base 1995=100)","1996","Mushrooms",NA
"1434","Value of Changes in Livestock and Crops (Euro Million)","1996","Mushrooms",NA
"1435","Quanity of Changes in Livestock and  Crops (Thousand)","1996","Mushrooms",NA
"1436","Estimated Value of Agricultural Output (Euro Million)","1997","Mushrooms",101.9
"1437","Estimated Quantity of Agricultural Output (Thousand)","1997","Mushrooms",57
"1438","Value Index of Agricultural Output (Base 1995=100)","1997","Mushrooms",NA
"1439","Value of Changes in Livestock and Crops (Euro Million)","1997","Mushrooms",NA
"1440","Quanity of Changes in Livestock and  Crops (Thousand)","1997","Mushrooms",NA
"1441","Estimated Value of Agricultural Output (Euro Million)","1998","Mushrooms",106.7
"1442","Estimated Quantity of Agricultural Output (Thousand)","1998","Mushrooms",62
"1443","Value Index of Agricultural Output (Base 1995=100)","1998","Mushrooms",NA
"1444","Value of Changes in Livestock and Crops (Euro Million)","1998","Mushrooms",NA
"1445","Quanity of Changes in Livestock and  Crops (Thousand)","1998","Mushrooms",NA
"1446","Estimated Value of Agricultural Output (Euro Million)","1999","Mushrooms",111.4
"1447","Estimated Quantity of Agricultural Output (Thousand)","1999","Mushrooms",65
"1448","Value Index of Agricultural Output (Base 1995=100)","1999","Mushrooms",NA
"1449","Value of Changes in Livestock and Crops (Euro Million)","1999","Mushrooms",NA
"1450","Quanity of Changes in Livestock and  Crops (Thousand)","1999","Mushrooms",NA
"1451","Estimated Value of Agricultural Output (Euro Million)","2000","Mushrooms",114.8
"1452","Estimated Quantity of Agricultural Output (Thousand)","2000","Mushrooms",60
"1453","Value Index of Agricultural Output (Base 1995=100)","2000","Mushrooms",NA
"1454","Value of Changes in Livestock and Crops (Euro Million)","2000","Mushrooms",NA
"1455","Quanity of Changes in Livestock and  Crops (Thousand)","2000","Mushrooms",NA
"1456","Estimated Value of Agricultural Output (Euro Million)","2001","Mushrooms",115.6
"1457","Estimated Quantity of Agricultural Output (Thousand)","2001","Mushrooms",68
"1458","Value Index of Agricultural Output (Base 1995=100)","2001","Mushrooms",NA
"1459","Value of Changes in Livestock and Crops (Euro Million)","2001","Mushrooms",NA
"1460","Quanity of Changes in Livestock and  Crops (Thousand)","2001","Mushrooms",NA
"1461","Estimated Value of Agricultural Output (Euro Million)","2002","Mushrooms",137.7
"1462","Estimated Quantity of Agricultural Output (Thousand)","2002","Mushrooms",69
"1463","Value Index of Agricultural Output (Base 1995=100)","2002","Mushrooms",NA
"1464","Value of Changes in Livestock and Crops (Euro Million)","2002","Mushrooms",NA
"1465","Quanity of Changes in Livestock and  Crops (Thousand)","2002","Mushrooms",NA
"1466","Estimated Value of Agricultural Output (Euro Million)","2003","Mushrooms",NA
"1467","Estimated Quantity of Agricultural Output (Thousand)","2003","Mushrooms",NA
"1468","Value Index of Agricultural Output (Base 1995=100)","2003","Mushrooms",NA
"1469","Value of Changes in Livestock and Crops (Euro Million)","2003","Mushrooms",NA
"1470","Quanity of Changes in Livestock and  Crops (Thousand)","2003","Mushrooms",NA
"1471","Estimated Value of Agricultural Output (Euro Million)","1990","Other Crops (Including Turf)",NA
"1472","Estimated Quantity of Agricultural Output (Thousand)","1990","Other Crops (Including Turf)",NA
"1473","Value Index of Agricultural Output (Base 1995=100)","1990","Other Crops (Including Turf)",NA
"1474","Value of Changes in Livestock and Crops (Euro Million)","1990","Other Crops (Including Turf)",NA
"1475","Quanity of Changes in Livestock and  Crops (Thousand)","1990","Other Crops (Including Turf)",NA
"1476","Estimated Value of Agricultural Output (Euro Million)","1991","Other Crops (Including Turf)",NA
"1477","Estimated Quantity of Agricultural Output (Thousand)","1991","Other Crops (Including Turf)",NA
"1478","Value Index of Agricultural Output (Base 1995=100)","1991","Other Crops (Including Turf)",NA
"1479","Value of Changes in Livestock and Crops (Euro Million)","1991","Other Crops (Including Turf)",NA
"1480","Quanity of Changes in Livestock and  Crops (Thousand)","1991","Other Crops (Including Turf)",NA
"1481","Estimated Value of Agricultural Output (Euro Million)","1992","Other Crops (Including Turf)",NA
"1482","Estimated Quantity of Agricultural Output (Thousand)","1992","Other Crops (Including Turf)",NA
"1483","Value Index of Agricultural Output (Base 1995=100)","1992","Other Crops (Including Turf)",NA
"1484","Value of Changes in Livestock and Crops (Euro Million)","1992","Other Crops (Including Turf)",NA
"1485","Quanity of Changes in Livestock and  Crops (Thousand)","1992","Other Crops (Including Turf)",NA
"1486","Estimated Value of Agricultural Output (Euro Million)","1993","Other Crops (Including Turf)",NA
"1487","Estimated Quantity of Agricultural Output (Thousand)","1993","Other Crops (Including Turf)",NA
"1488","Value Index of Agricultural Output (Base 1995=100)","1993","Other Crops (Including Turf)",NA
"1489","Value of Changes in Livestock and Crops (Euro Million)","1993","Other Crops (Including Turf)",NA
"1490","Quanity of Changes in Livestock and  Crops (Thousand)","1993","Other Crops (Including Turf)",NA
"1491","Estimated Value of Agricultural Output (Euro Million)","1994","Other Crops (Including Turf)",NA
"1492","Estimated Quantity of Agricultural Output (Thousand)","1994","Other Crops (Including Turf)",NA
"1493","Value Index of Agricultural Output (Base 1995=100)","1994","Other Crops (Including Turf)",NA
"1494","Value of Changes in Livestock and Crops (Euro Million)","1994","Other Crops (Including Turf)",NA
"1495","Quanity of Changes in Livestock and  Crops (Thousand)","1994","Other Crops (Including Turf)",NA
"1496","Estimated Value of Agricultural Output (Euro Million)","1995","Other Crops (Including Turf)",NA
"1497","Estimated Quantity of Agricultural Output (Thousand)","1995","Other Crops (Including Turf)",NA
"1498","Value Index of Agricultural Output (Base 1995=100)","1995","Other Crops (Including Turf)",NA
"1499","Value of Changes in Livestock and Crops (Euro Million)","1995","Other Crops (Including Turf)",NA
"1500","Quanity of Changes in Livestock and  Crops (Thousand)","1995","Other Crops (Including Turf)",NA
"1501","Estimated Value of Agricultural Output (Euro Million)","1996","Other Crops (Including Turf)",NA
"1502","Estimated Quantity of Agricultural Output (Thousand)","1996","Other Crops (Including Turf)",NA
"1503","Value Index of Agricultural Output (Base 1995=100)","1996","Other Crops (Including Turf)",NA
"1504","Value of Changes in Livestock and Crops (Euro Million)","1996","Other Crops (Including Turf)",NA
"1505","Quanity of Changes in Livestock and  Crops (Thousand)","1996","Other Crops (Including Turf)",NA
"1506","Estimated Value of Agricultural Output (Euro Million)","1997","Other Crops (Including Turf)",NA
"1507","Estimated Quantity of Agricultural Output (Thousand)","1997","Other Crops (Including Turf)",NA
"1508","Value Index of Agricultural Output (Base 1995=100)","1997","Other Crops (Including Turf)",NA
"1509","Value of Changes in Livestock and Crops (Euro Million)","1997","Other Crops (Including Turf)",NA
"1510","Quanity of Changes in Livestock and  Crops (Thousand)","1997","Other Crops (Including Turf)",NA
"1511","Estimated Value of Agricultural Output (Euro Million)","1998","Other Crops (Including Turf)",NA
"1512","Estimated Quantity of Agricultural Output (Thousand)","1998","Other Crops (Including Turf)",NA
"1513","Value Index of Agricultural Output (Base 1995=100)","1998","Other Crops (Including Turf)",NA
"1514","Value of Changes in Livestock and Crops (Euro Million)","1998","Other Crops (Including Turf)",NA
"1515","Quanity of Changes in Livestock and  Crops (Thousand)","1998","Other Crops (Including Turf)",NA
"1516","Estimated Value of Agricultural Output (Euro Million)","1999","Other Crops (Including Turf)",NA
"1517","Estimated Quantity of Agricultural Output (Thousand)","1999","Other Crops (Including Turf)",NA
"1518","Value Index of Agricultural Output (Base 1995=100)","1999","Other Crops (Including Turf)",NA
"1519","Value of Changes in Livestock and Crops (Euro Million)","1999","Other Crops (Including Turf)",NA
"1520","Quanity of Changes in Livestock and  Crops (Thousand)","1999","Other Crops (Including Turf)",NA
"1521","Estimated Value of Agricultural Output (Euro Million)","2000","Other Crops (Including Turf)",NA
"1522","Estimated Quantity of Agricultural Output (Thousand)","2000","Other Crops (Including Turf)",NA
"1523","Value Index of Agricultural Output (Base 1995=100)","2000","Other Crops (Including Turf)",NA
"1524","Value of Changes in Livestock and Crops (Euro Million)","2000","Other Crops (Including Turf)",NA
"1525","Quanity of Changes in Livestock and  Crops (Thousand)","2000","Other Crops (Including Turf)",NA
"1526","Estimated Value of Agricultural Output (Euro Million)","2001","Other Crops (Including Turf)",NA
"1527","Estimated Quantity of Agricultural Output (Thousand)","2001","Other Crops (Including Turf)",NA
"1528","Value Index of Agricultural Output (Base 1995=100)","2001","Other Crops (Including Turf)",NA
"1529","Value of Changes in Livestock and Crops (Euro Million)","2001","Other Crops (Including Turf)",NA
"1530","Quanity of Changes in Livestock and  Crops (Thousand)","2001","Other Crops (Including Turf)",NA
"1531","Estimated Value of Agricultural Output (Euro Million)","2002","Other Crops (Including Turf)",NA
"1532","Estimated Quantity of Agricultural Output (Thousand)","2002","Other Crops (Including Turf)",NA
"1533","Value Index of Agricultural Output (Base 1995=100)","2002","Other Crops (Including Turf)",NA
"1534","Value of Changes in Livestock and Crops (Euro Million)","2002","Other Crops (Including Turf)",NA
"1535","Quanity of Changes in Livestock and  Crops (Thousand)","2002","Other Crops (Including Turf)",NA
"1536","Estimated Value of Agricultural Output (Euro Million)","2003","Other Crops (Including Turf)",NA
"1537","Estimated Quantity of Agricultural Output (Thousand)","2003","Other Crops (Including Turf)",NA
"1538","Value Index of Agricultural Output (Base 1995=100)","2003","Other Crops (Including Turf)",NA
"1539","Value of Changes in Livestock and Crops (Euro Million)","2003","Other Crops (Including Turf)",NA
"1540","Quanity of Changes in Livestock and  Crops (Thousand)","2003","Other Crops (Including Turf)",NA
"1541","Estimated Value of Agricultural Output (Euro Million)","1990","Turf",44.8
"1542","Estimated Quantity of Agricultural Output (Thousand)","1990","Turf",972
"1543","Value Index of Agricultural Output (Base 1995=100)","1990","Turf",NA
"1544","Value of Changes in Livestock and Crops (Euro Million)","1990","Turf",NA
"1545","Quanity of Changes in Livestock and  Crops (Thousand)","1990","Turf",NA
"1546","Estimated Value of Agricultural Output (Euro Million)","1991","Turf",47.7
"1547","Estimated Quantity of Agricultural Output (Thousand)","1991","Turf",985
"1548","Value Index of Agricultural Output (Base 1995=100)","1991","Turf",NA
"1549","Value of Changes in Livestock and Crops (Euro Million)","1991","Turf",NA
"1550","Quanity of Changes in Livestock and  Crops (Thousand)","1991","Turf",NA
"1551","Estimated Value of Agricultural Output (Euro Million)","1992","Turf",45.8
"1552","Estimated Quantity of Agricultural Output (Thousand)","1992","Turf",937
"1553","Value Index of Agricultural Output (Base 1995=100)","1992","Turf",NA
"1554","Value of Changes in Livestock and Crops (Euro Million)","1992","Turf",NA
"1555","Quanity of Changes in Livestock and  Crops (Thousand)","1992","Turf",NA
"1556","Estimated Value of Agricultural Output (Euro Million)","1993","Turf",39.8
"1557","Estimated Quantity of Agricultural Output (Thousand)","1993","Turf",814
"1558","Value Index of Agricultural Output (Base 1995=100)","1993","Turf",NA
"1559","Value of Changes in Livestock and Crops (Euro Million)","1993","Turf",NA
"1560","Quanity of Changes in Livestock and  Crops (Thousand)","1993","Turf",NA
"1561","Estimated Value of Agricultural Output (Euro Million)","1994","Turf",30.6
"1562","Estimated Quantity of Agricultural Output (Thousand)","1994","Turf",625
"1563","Value Index of Agricultural Output (Base 1995=100)","1994","Turf",NA
"1564","Value of Changes in Livestock and Crops (Euro Million)","1994","Turf",NA
"1565","Quanity of Changes in Livestock and  Crops (Thousand)","1994","Turf",NA
"1566","Estimated Value of Agricultural Output (Euro Million)","1995","Turf",30.8
"1567","Estimated Quantity of Agricultural Output (Thousand)","1995","Turf",631
"1568","Value Index of Agricultural Output (Base 1995=100)","1995","Turf",NA
"1569","Value of Changes in Livestock and Crops (Euro Million)","1995","Turf",NA
"1570","Quanity of Changes in Livestock and  Crops (Thousand)","1995","Turf",NA
"1571","Estimated Value of Agricultural Output (Euro Million)","1996","Turf",30.2
"1572","Estimated Quantity of Agricultural Output (Thousand)","1996","Turf",619
"1573","Value Index of Agricultural Output (Base 1995=100)","1996","Turf",NA
"1574","Value of Changes in Livestock and Crops (Euro Million)","1996","Turf",NA
"1575","Quanity of Changes in Livestock and  Crops (Thousand)","1996","Turf",NA
"1576","Estimated Value of Agricultural Output (Euro Million)","1997","Turf",28
"1577","Estimated Quantity of Agricultural Output (Thousand)","1997","Turf",573
"1578","Value Index of Agricultural Output (Base 1995=100)","1997","Turf",NA
"1579","Value of Changes in Livestock and Crops (Euro Million)","1997","Turf",NA
"1580","Quanity of Changes in Livestock and  Crops (Thousand)","1997","Turf",NA
"1581","Estimated Value of Agricultural Output (Euro Million)","1998","Turf",22
"1582","Estimated Quantity of Agricultural Output (Thousand)","1998","Turf",450
"1583","Value Index of Agricultural Output (Base 1995=100)","1998","Turf",NA
"1584","Value of Changes in Livestock and Crops (Euro Million)","1998","Turf",NA
"1585","Quanity of Changes in Livestock and  Crops (Thousand)","1998","Turf",NA
"1586","Estimated Value of Agricultural Output (Euro Million)","1999","Turf",24.1
"1587","Estimated Quantity of Agricultural Output (Thousand)","1999","Turf",492
"1588","Value Index of Agricultural Output (Base 1995=100)","1999","Turf",NA
"1589","Value of Changes in Livestock and Crops (Euro Million)","1999","Turf",NA
"1590","Quanity of Changes in Livestock and  Crops (Thousand)","1999","Turf",NA
"1591","Estimated Value of Agricultural Output (Euro Million)","2000","Turf",22.5
"1592","Estimated Quantity of Agricultural Output (Thousand)","2000","Turf",460
"1593","Value Index of Agricultural Output (Base 1995=100)","2000","Turf",NA
"1594","Value of Changes in Livestock and Crops (Euro Million)","2000","Turf",NA
"1595","Quanity of Changes in Livestock and  Crops (Thousand)","2000","Turf",NA
"1596","Estimated Value of Agricultural Output (Euro Million)","2001","Turf",26.5
"1597","Estimated Quantity of Agricultural Output (Thousand)","2001","Turf",501
"1598","Value Index of Agricultural Output (Base 1995=100)","2001","Turf",NA
"1599","Value of Changes in Livestock and Crops (Euro Million)","2001","Turf",NA
"1600","Quanity of Changes in Livestock and  Crops (Thousand)","2001","Turf",NA
"1601","Estimated Value of Agricultural Output (Euro Million)","2002","Turf",27.8
"1602","Estimated Quantity of Agricultural Output (Thousand)","2002","Turf",415
"1603","Value Index of Agricultural Output (Base 1995=100)","2002","Turf",NA
"1604","Value of Changes in Livestock and Crops (Euro Million)","2002","Turf",NA
"1605","Quanity of Changes in Livestock and  Crops (Thousand)","2002","Turf",NA
"1606","Estimated Value of Agricultural Output (Euro Million)","2003","Turf",NA
"1607","Estimated Quantity of Agricultural Output (Thousand)","2003","Turf",NA
"1608","Value Index of Agricultural Output (Base 1995=100)","2003","Turf",NA
"1609","Value of Changes in Livestock and Crops (Euro Million)","2003","Turf",NA
"1610","Quanity of Changes in Livestock and  Crops (Thousand)","2003","Turf",NA
