"","Statistic","Year","Type.of.Cow","Size.of.Herd","value"
"1463","Number of Farms with Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","60-99",0.5
"1464","Number of Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","60-99",32.7
"1465","Number of Farms with Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","60-99",0.2
"1466","Number of Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","60-99",14.6
"1467","Number of Farms with Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","60-99",0.2
"1468","Number of Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","60-99",11.1
"1469","Number of Farms with Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","60-99",0.1
"1470","Number of Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","60-99",10
"1471","Number of Farms with Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","60-99",0.1
"1472","Number of Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","60-99",5.3
"1473","Number of Farms with Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","60-99",0.1
"1474","Number of Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","60-99",7.2
"1475","Number of Farms with Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","60-99",0.1
"1476","Number of Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","60-99",6.6
"1477","Number of Farms with Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","60-99",0.1
"1478","Number of Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","60-99",6.3
"1479","Number of Farms with Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","60-99",0.2
"1480","Number of Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","60-99",11
"1481","Number of Farms with Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","60-99",0.3
"1482","Number of Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","60-99",19.6
"1483","Number of Farms with Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","60-99",0.4
"1484","Number of Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","60-99",34.7
"1485","Number of Farms with Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","60-99",0.6
"1486","Number of Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","60-99",44.1
"1487","Number of Farms with Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","60-99",0.8
"1488","Number of Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","60-99",65.1
"1489","Number of Farms with Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","60-99",0.8
"1490","Number of Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","60-99",64.2
"1491","Number of Farms with Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","60-99",1
"1492","Number of Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","60-99",76
"1493","Number of Farms with Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","60-99",0.9
"1494","Number of Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","60-99",72.2
"1495","Number of Farms with Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","60-99",1.2
"1496","Number of Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","60-99",91.9
"1497","Number of Farms with Cattle (Thousand)","1973","Cattle","100+",NA
"1498","Number of Cattle (Thousand)","1973","Cattle","100+",NA
"1499","Number of Farms with Cattle (Thousand)","1975","Cattle","100+",NA
"1500","Number of Cattle (Thousand)","1975","Cattle","100+",NA
"1501","Number of Farms with Cattle (Thousand)","1977","Cattle","100+",NA
"1502","Number of Cattle (Thousand)","1977","Cattle","100+",NA
"1503","Number of Farms with Cattle (Thousand)","1979","Cattle","100+",NA
"1504","Number of Cattle (Thousand)","1979","Cattle","100+",NA
"1505","Number of Farms with Cattle (Thousand)","1981","Cattle","100+",NA
"1506","Number of Cattle (Thousand)","1981","Cattle","100+",NA
"1507","Number of Farms with Cattle (Thousand)","1983","Cattle","100+",NA
"1508","Number of Cattle (Thousand)","1983","Cattle","100+",NA
"1509","Number of Farms with Cattle (Thousand)","1985","Cattle","100+",NA
"1510","Number of Cattle (Thousand)","1985","Cattle","100+",NA
"1511","Number of Farms with Cattle (Thousand)","1987","Cattle","100+",NA
"1512","Number of Cattle (Thousand)","1987","Cattle","100+",NA
"1513","Number of Farms with Cattle (Thousand)","1989","Cattle","100+",NA
"1514","Number of Cattle (Thousand)","1989","Cattle","100+",NA
"1515","Number of Farms with Cattle (Thousand)","1991","Cattle","100+",NA
"1516","Number of Cattle (Thousand)","1991","Cattle","100+",NA
"1517","Number of Farms with Cattle (Thousand)","1993","Cattle","100+",NA
"1518","Number of Cattle (Thousand)","1993","Cattle","100+",NA
"1519","Number of Farms with Cattle (Thousand)","1995","Cattle","100+",NA
"1520","Number of Cattle (Thousand)","1995","Cattle","100+",NA
"1521","Number of Farms with Cattle (Thousand)","1997","Cattle","100+",NA
"1522","Number of Cattle (Thousand)","1997","Cattle","100+",NA
"1523","Number of Farms with Cattle (Thousand)","1999","Cattle","100+",NA
"1524","Number of Cattle (Thousand)","1999","Cattle","100+",NA
"1525","Number of Farms with Cattle (Thousand)","2001","Cattle","100+",NA
"1526","Number of Cattle (Thousand)","2001","Cattle","100+",NA
"1527","Number of Farms with Cattle (Thousand)","2003","Cattle","100+",NA
"1528","Number of Cattle (Thousand)","2003","Cattle","100+",NA
"1529","Number of Farms with Cattle (Thousand)","2005","Cattle","100+",NA
"1530","Number of Cattle (Thousand)","2005","Cattle","100+",NA
"1531","Number of Farms with Cattle (Thousand)","1973","Cows","100+",0.4
"1532","Number of Cattle (Thousand)","1973","Cows","100+",53.7
"1533","Number of Farms with Cattle (Thousand)","1975","Cows","100+",0.3
"1534","Number of Cattle (Thousand)","1975","Cows","100+",47.8
"1535","Number of Farms with Cattle (Thousand)","1977","Cows","100+",0.5
"1536","Number of Cattle (Thousand)","1977","Cows","100+",70.3
"1537","Number of Farms with Cattle (Thousand)","1979","Cows","100+",0.6
"1538","Number of Cattle (Thousand)","1979","Cows","100+",83
"1539","Number of Farms with Cattle (Thousand)","1981","Cows","100+",0.7
"1540","Number of Cattle (Thousand)","1981","Cows","100+",91.5
"1541","Number of Farms with Cattle (Thousand)","1983","Cows","100+",1
"1542","Number of Cattle (Thousand)","1983","Cows","100+",136.6
"1543","Number of Farms with Cattle (Thousand)","1985","Cows","100+",1
"1544","Number of Cattle (Thousand)","1985","Cows","100+",138.8
"1545","Number of Farms with Cattle (Thousand)","1987","Cows","100+",0.8
"1546","Number of Cattle (Thousand)","1987","Cows","100+",118.1
"1547","Number of Farms with Cattle (Thousand)","1989","Cows","100+",0.8
"1548","Number of Cattle (Thousand)","1989","Cows","100+",122.9
"1549","Number of Farms with Cattle (Thousand)","1991","Cows","100+",1
"1550","Number of Cattle (Thousand)","1991","Cows","100+",135.7
"1551","Number of Farms with Cattle (Thousand)","1993","Cows","100+",1
"1552","Number of Cattle (Thousand)","1993","Cows","100+",137.1
"1553","Number of Farms with Cattle (Thousand)","1995","Cows","100+",1
"1554","Number of Cattle (Thousand)","1995","Cows","100+",150.8
"1555","Number of Farms with Cattle (Thousand)","1997","Cows","100+",1
"1556","Number of Cattle (Thousand)","1997","Cows","100+",157.3
"1557","Number of Farms with Cattle (Thousand)","1999","Cows","100+",1
"1558","Number of Cattle (Thousand)","1999","Cows","100+",128.2
"1559","Number of Farms with Cattle (Thousand)","2001","Cows","100+",1.2
"1560","Number of Cattle (Thousand)","2001","Cows","100+",139
"1561","Number of Farms with Cattle (Thousand)","2003","Cows","100+",1.1
"1562","Number of Cattle (Thousand)","2003","Cows","100+",150.7
"1563","Number of Farms with Cattle (Thousand)","2005","Cows","100+",1.6
"1564","Number of Cattle (Thousand)","2005","Cows","100+",177.5
"1565","Number of Farms with Cattle (Thousand)","1973","Dairy Cows","100+",0.2
"1566","Number of Cattle (Thousand)","1973","Dairy Cows","100+",25.6
"1567","Number of Farms with Cattle (Thousand)","1975","Dairy Cows","100+",0.3
"1568","Number of Cattle (Thousand)","1975","Dairy Cows","100+",35.7
"1569","Number of Farms with Cattle (Thousand)","1977","Dairy Cows","100+",0.4
"1570","Number of Cattle (Thousand)","1977","Dairy Cows","100+",60.8
"1571","Number of Farms with Cattle (Thousand)","1979","Dairy Cows","100+",0.6
"1572","Number of Cattle (Thousand)","1979","Dairy Cows","100+",75.2
"1573","Number of Farms with Cattle (Thousand)","1981","Dairy Cows","100+",0.6
"1574","Number of Cattle (Thousand)","1981","Dairy Cows","100+",82.7
"1575","Number of Farms with Cattle (Thousand)","1983","Dairy Cows","100+",0.9
"1576","Number of Cattle (Thousand)","1983","Dairy Cows","100+",123.5
"1577","Number of Farms with Cattle (Thousand)","1985","Dairy Cows","100+",0.9
"1578","Number of Cattle (Thousand)","1985","Dairy Cows","100+",125.6
"1579","Number of Farms with Cattle (Thousand)","1987","Dairy Cows","100+",0.8
"1580","Number of Cattle (Thousand)","1987","Dairy Cows","100+",109.3
"1581","Number of Farms with Cattle (Thousand)","1989","Dairy Cows","100+",0.8
"1582","Number of Cattle (Thousand)","1989","Dairy Cows","100+",108.2
"1583","Number of Farms with Cattle (Thousand)","1991","Dairy Cows","100+",0.8
"1584","Number of Cattle (Thousand)","1991","Dairy Cows","100+",106.9
"1585","Number of Farms with Cattle (Thousand)","1993","Dairy Cows","100+",0.7
"1586","Number of Cattle (Thousand)","1993","Dairy Cows","100+",105.1
"1587","Number of Farms with Cattle (Thousand)","1995","Dairy Cows","100+",0.9
"1588","Number of Cattle (Thousand)","1995","Dairy Cows","100+",119.2
"1589","Number of Farms with Cattle (Thousand)","1997","Dairy Cows","100+",0.9
"1590","Number of Cattle (Thousand)","1997","Dairy Cows","100+",121.8
"1591","Number of Farms with Cattle (Thousand)","1999","Dairy Cows","100+",0.8
"1592","Number of Cattle (Thousand)","1999","Dairy Cows","100+",115.3
"1593","Number of Farms with Cattle (Thousand)","2001","Dairy Cows","100+",0.9
"1594","Number of Cattle (Thousand)","2001","Dairy Cows","100+",114.3
"1595","Number of Farms with Cattle (Thousand)","2003","Dairy Cows","100+",0.8
"1596","Number of Cattle (Thousand)","2003","Dairy Cows","100+",124.3
"1597","Number of Farms with Cattle (Thousand)","2005","Dairy Cows","100+",1.2
"1598","Number of Cattle (Thousand)","2005","Dairy Cows","100+",145.2
"1599","Number of Farms with Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","100+",0.1
"1600","Number of Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","100+",18.7
"1601","Number of Farms with Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","100+",0
"1602","Number of Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","100+",5.9
"1603","Number of Farms with Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","100+",0
"1604","Number of Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","100+",4.7
"1605","Number of Farms with Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","100+",0
"1606","Number of Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","100+",3.4
"1607","Number of Farms with Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","100+",0
"1608","Number of Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","100+",3.2
"1609","Number of Farms with Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","100+",0
"1610","Number of Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","100+",3.3
"1611","Number of Farms with Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","100+",0
"1612","Number of Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","100+",3.1
"1613","Number of Farms with Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","100+",0
"1614","Number of Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","100+",4
"1615","Number of Farms with Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","100+",0
"1616","Number of Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","100+",5.2
"1617","Number of Farms with Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","100+",0.1
"1618","Number of Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","100+",7.8
"1619","Number of Farms with Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","100+",0.1
"1620","Number of Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","100+",10.3
"1621","Number of Farms with Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","100+",0.1
"1622","Number of Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","100+",11.2
"1623","Number of Farms with Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","100+",0.1
"1624","Number of Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","100+",14.2
"1625","Number of Farms with Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","100+",0.1
"1626","Number of Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","100+",12.9
"1627","Number of Farms with Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","100+",0.2
"1628","Number of Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","100+",24.8
"1629","Number of Farms with Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","100+",0.2
"1630","Number of Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","100+",26.3
"1631","Number of Farms with Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","100+",0.2
"1632","Number of Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","100+",32.3
"1633","Number of Farms with Cattle (Thousand)","1973","Cattle","100-199",7.8
"1634","Number of Cattle (Thousand)","1973","Cattle","100-199",1016.9
"1635","Number of Farms with Cattle (Thousand)","1975","Cattle","100-199",7.3
"1636","Number of Cattle (Thousand)","1975","Cattle","100-199",954.6
"1637","Number of Farms with Cattle (Thousand)","1977","Cattle","100-199",7.8
"1638","Number of Cattle (Thousand)","1977","Cattle","100-199",1016.9
"1639","Number of Farms with Cattle (Thousand)","1979","Cattle","100-199",8.3
"1640","Number of Cattle (Thousand)","1979","Cattle","100-199",1073.6
"1641","Number of Farms with Cattle (Thousand)","1981","Cattle","100-199",7.3
"1642","Number of Cattle (Thousand)","1981","Cattle","100-199",950.5
"1643","Number of Farms with Cattle (Thousand)","1983","Cattle","100-199",7.9
"1644","Number of Cattle (Thousand)","1983","Cattle","100-199",1029.8
"1645","Number of Farms with Cattle (Thousand)","1985","Cattle","100-199",8.1
"1646","Number of Cattle (Thousand)","1985","Cattle","100-199",1064.3
"1647","Number of Farms with Cattle (Thousand)","1987","Cattle","100-199",7.9
"1648","Number of Cattle (Thousand)","1987","Cattle","100-199",1035.1
"1649","Number of Farms with Cattle (Thousand)","1989","Cattle","100-199",8.8
"1650","Number of Cattle (Thousand)","1989","Cattle","100-199",1172
"1651","Number of Farms with Cattle (Thousand)","1991","Cattle","100-199",11
"1652","Number of Cattle (Thousand)","1991","Cattle","100-199",1436.6
"1653","Number of Farms with Cattle (Thousand)","1993","Cattle","100-199",11.4
"1654","Number of Cattle (Thousand)","1993","Cattle","100-199",1563.8
"1655","Number of Farms with Cattle (Thousand)","1995","Cattle","100-199",12.1
"1656","Number of Cattle (Thousand)","1995","Cattle","100-199",1702.5
"1657","Number of Farms with Cattle (Thousand)","1997","Cattle","100-199",13.4
"1658","Number of Cattle (Thousand)","1997","Cattle","100-199",1933.5
"1659","Number of Farms with Cattle (Thousand)","1999","Cattle","100-199",12.7
"1660","Number of Cattle (Thousand)","1999","Cattle","100-199",1845.5
"1661","Number of Farms with Cattle (Thousand)","2001","Cattle","100-199",14.3
"1662","Number of Cattle (Thousand)","2001","Cattle","100-199",1935.2
"1663","Number of Farms with Cattle (Thousand)","2003","Cattle","100-199",13.5
"1664","Number of Cattle (Thousand)","2003","Cattle","100-199",1892.6
"1665","Number of Farms with Cattle (Thousand)","2005","Cattle","100-199",15.1
"1666","Number of Cattle (Thousand)","2005","Cattle","100-199",1938.5
"1667","Number of Farms with Cattle (Thousand)","1973","Cows","100-199",NA
"1668","Number of Cattle (Thousand)","1973","Cows","100-199",NA
"1669","Number of Farms with Cattle (Thousand)","1975","Cows","100-199",NA
"1670","Number of Cattle (Thousand)","1975","Cows","100-199",NA
"1671","Number of Farms with Cattle (Thousand)","1977","Cows","100-199",NA
"1672","Number of Cattle (Thousand)","1977","Cows","100-199",NA
"1673","Number of Farms with Cattle (Thousand)","1979","Cows","100-199",NA
"1674","Number of Cattle (Thousand)","1979","Cows","100-199",NA
"1675","Number of Farms with Cattle (Thousand)","1981","Cows","100-199",NA
"1676","Number of Cattle (Thousand)","1981","Cows","100-199",NA
"1677","Number of Farms with Cattle (Thousand)","1983","Cows","100-199",NA
"1678","Number of Cattle (Thousand)","1983","Cows","100-199",NA
"1679","Number of Farms with Cattle (Thousand)","1985","Cows","100-199",NA
"1680","Number of Cattle (Thousand)","1985","Cows","100-199",NA
"1681","Number of Farms with Cattle (Thousand)","1987","Cows","100-199",NA
"1682","Number of Cattle (Thousand)","1987","Cows","100-199",NA
"1683","Number of Farms with Cattle (Thousand)","1989","Cows","100-199",NA
"1684","Number of Cattle (Thousand)","1989","Cows","100-199",NA
"1685","Number of Farms with Cattle (Thousand)","1991","Cows","100-199",NA
"1686","Number of Cattle (Thousand)","1991","Cows","100-199",NA
"1687","Number of Farms with Cattle (Thousand)","1993","Cows","100-199",NA
"1688","Number of Cattle (Thousand)","1993","Cows","100-199",NA
"1689","Number of Farms with Cattle (Thousand)","1995","Cows","100-199",NA
"1690","Number of Cattle (Thousand)","1995","Cows","100-199",NA
"1691","Number of Farms with Cattle (Thousand)","1997","Cows","100-199",NA
"1692","Number of Cattle (Thousand)","1997","Cows","100-199",NA
"1693","Number of Farms with Cattle (Thousand)","1999","Cows","100-199",NA
"1694","Number of Cattle (Thousand)","1999","Cows","100-199",NA
"1695","Number of Farms with Cattle (Thousand)","2001","Cows","100-199",NA
"1696","Number of Cattle (Thousand)","2001","Cows","100-199",NA
"1697","Number of Farms with Cattle (Thousand)","2003","Cows","100-199",NA
"1698","Number of Cattle (Thousand)","2003","Cows","100-199",NA
"1699","Number of Farms with Cattle (Thousand)","2005","Cows","100-199",NA
"1700","Number of Cattle (Thousand)","2005","Cows","100-199",NA
"1701","Number of Farms with Cattle (Thousand)","1973","Dairy Cows","100-199",NA
"1702","Number of Cattle (Thousand)","1973","Dairy Cows","100-199",NA
"1703","Number of Farms with Cattle (Thousand)","1975","Dairy Cows","100-199",NA
"1704","Number of Cattle (Thousand)","1975","Dairy Cows","100-199",NA
"1705","Number of Farms with Cattle (Thousand)","1977","Dairy Cows","100-199",NA
"1706","Number of Cattle (Thousand)","1977","Dairy Cows","100-199",NA
"1707","Number of Farms with Cattle (Thousand)","1979","Dairy Cows","100-199",NA
"1708","Number of Cattle (Thousand)","1979","Dairy Cows","100-199",NA
"1709","Number of Farms with Cattle (Thousand)","1981","Dairy Cows","100-199",NA
"1710","Number of Cattle (Thousand)","1981","Dairy Cows","100-199",NA
"1711","Number of Farms with Cattle (Thousand)","1983","Dairy Cows","100-199",NA
"1712","Number of Cattle (Thousand)","1983","Dairy Cows","100-199",NA
"1713","Number of Farms with Cattle (Thousand)","1985","Dairy Cows","100-199",NA
"1714","Number of Cattle (Thousand)","1985","Dairy Cows","100-199",NA
"1715","Number of Farms with Cattle (Thousand)","1987","Dairy Cows","100-199",NA
"1716","Number of Cattle (Thousand)","1987","Dairy Cows","100-199",NA
"1717","Number of Farms with Cattle (Thousand)","1989","Dairy Cows","100-199",NA
"1718","Number of Cattle (Thousand)","1989","Dairy Cows","100-199",NA
"1719","Number of Farms with Cattle (Thousand)","1991","Dairy Cows","100-199",NA
"1720","Number of Cattle (Thousand)","1991","Dairy Cows","100-199",NA
"1721","Number of Farms with Cattle (Thousand)","1993","Dairy Cows","100-199",NA
"1722","Number of Cattle (Thousand)","1993","Dairy Cows","100-199",NA
"1723","Number of Farms with Cattle (Thousand)","1995","Dairy Cows","100-199",NA
"1724","Number of Cattle (Thousand)","1995","Dairy Cows","100-199",NA
"1725","Number of Farms with Cattle (Thousand)","1997","Dairy Cows","100-199",NA
"1726","Number of Cattle (Thousand)","1997","Dairy Cows","100-199",NA
"1727","Number of Farms with Cattle (Thousand)","1999","Dairy Cows","100-199",NA
"1728","Number of Cattle (Thousand)","1999","Dairy Cows","100-199",NA
"1729","Number of Farms with Cattle (Thousand)","2001","Dairy Cows","100-199",NA
"1730","Number of Cattle (Thousand)","2001","Dairy Cows","100-199",NA
"1731","Number of Farms with Cattle (Thousand)","2003","Dairy Cows","100-199",NA
"1732","Number of Cattle (Thousand)","2003","Dairy Cows","100-199",NA
"1733","Number of Farms with Cattle (Thousand)","2005","Dairy Cows","100-199",NA
"1734","Number of Cattle (Thousand)","2005","Dairy Cows","100-199",NA
"1735","Number of Farms with Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","100-199",NA
"1736","Number of Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","100-199",NA
"1737","Number of Farms with Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","100-199",NA
"1738","Number of Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","100-199",NA
"1739","Number of Farms with Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","100-199",NA
"1740","Number of Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","100-199",NA
"1741","Number of Farms with Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","100-199",NA
"1742","Number of Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","100-199",NA
"1743","Number of Farms with Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","100-199",NA
"1744","Number of Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","100-199",NA
"1745","Number of Farms with Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","100-199",NA
"1746","Number of Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","100-199",NA
"1747","Number of Farms with Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","100-199",NA
"1748","Number of Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","100-199",NA
"1749","Number of Farms with Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","100-199",NA
"1750","Number of Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","100-199",NA
"1751","Number of Farms with Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","100-199",NA
"1752","Number of Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","100-199",NA
"1753","Number of Farms with Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","100-199",NA
"1754","Number of Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","100-199",NA
"1755","Number of Farms with Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","100-199",NA
"1756","Number of Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","100-199",NA
"1757","Number of Farms with Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","100-199",NA
"1758","Number of Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","100-199",NA
"1759","Number of Farms with Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","100-199",NA
"1760","Number of Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","100-199",NA
"1761","Number of Farms with Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","100-199",NA
"1762","Number of Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","100-199",NA
"1763","Number of Farms with Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","100-199",NA
"1764","Number of Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","100-199",NA
"1765","Number of Farms with Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","100-199",NA
"1766","Number of Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","100-199",NA
"1767","Number of Farms with Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","100-199",NA
"1768","Number of Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","100-199",NA
"1769","Number of Farms with Cattle (Thousand)","1973","Cattle","200-299",1.1
"1770","Number of Cattle (Thousand)","1973","Cattle","200-299",273.6
"1771","Number of Farms with Cattle (Thousand)","1975","Cattle","200-299",1
"1772","Number of Cattle (Thousand)","1975","Cattle","200-299",240.8
"1773","Number of Farms with Cattle (Thousand)","1977","Cattle","200-299",0.9
"1774","Number of Cattle (Thousand)","1977","Cattle","200-299",210
"1775","Number of Farms with Cattle (Thousand)","1979","Cattle","200-299",1
"1776","Number of Cattle (Thousand)","1979","Cattle","200-299",227
"1777","Number of Farms with Cattle (Thousand)","1981","Cattle","200-299",0.9
"1778","Number of Cattle (Thousand)","1981","Cattle","200-299",202.2
"1779","Number of Farms with Cattle (Thousand)","1983","Cattle","200-299",1
"1780","Number of Cattle (Thousand)","1983","Cattle","200-299",227.7
"1781","Number of Farms with Cattle (Thousand)","1985","Cattle","200-299",1
"1782","Number of Cattle (Thousand)","1985","Cattle","200-299",241.5
"1783","Number of Farms with Cattle (Thousand)","1987","Cattle","200-299",1
"1784","Number of Cattle (Thousand)","1987","Cattle","200-299",237.1
"1785","Number of Farms with Cattle (Thousand)","1989","Cattle","200-299",1.3
"1786","Number of Cattle (Thousand)","1989","Cattle","200-299",295.6
"1787","Number of Farms with Cattle (Thousand)","1991","Cattle","200-299",1.7
"1788","Number of Cattle (Thousand)","1991","Cattle","200-299",400.2
"1789","Number of Farms with Cattle (Thousand)","1993","Cattle","200-299",2
"1790","Number of Cattle (Thousand)","1993","Cattle","200-299",484.5
"1791","Number of Farms with Cattle (Thousand)","1995","Cattle","200-299",2.1
"1792","Number of Cattle (Thousand)","1995","Cattle","200-299",541.5
"1793","Number of Farms with Cattle (Thousand)","1997","Cattle","200-299",2.4
"1794","Number of Cattle (Thousand)","1997","Cattle","200-299",616.4
"1795","Number of Farms with Cattle (Thousand)","1999","Cattle","200-299",2.4
"1796","Number of Cattle (Thousand)","1999","Cattle","200-299",610
"1797","Number of Farms with Cattle (Thousand)","2001","Cattle","200-299",2.8
"1798","Number of Cattle (Thousand)","2001","Cattle","200-299",660.1
"1799","Number of Farms with Cattle (Thousand)","2003","Cattle","200-299",2.7
"1800","Number of Cattle (Thousand)","2003","Cattle","200-299",672
"1801","Number of Farms with Cattle (Thousand)","2005","Cattle","200-299",3.2
"1802","Number of Cattle (Thousand)","2005","Cattle","200-299",729.1
"1803","Number of Farms with Cattle (Thousand)","1973","Cows","200-299",NA
"1804","Number of Cattle (Thousand)","1973","Cows","200-299",NA
"1805","Number of Farms with Cattle (Thousand)","1975","Cows","200-299",NA
"1806","Number of Cattle (Thousand)","1975","Cows","200-299",NA
"1807","Number of Farms with Cattle (Thousand)","1977","Cows","200-299",NA
"1808","Number of Cattle (Thousand)","1977","Cows","200-299",NA
"1809","Number of Farms with Cattle (Thousand)","1979","Cows","200-299",NA
"1810","Number of Cattle (Thousand)","1979","Cows","200-299",NA
"1811","Number of Farms with Cattle (Thousand)","1981","Cows","200-299",NA
"1812","Number of Cattle (Thousand)","1981","Cows","200-299",NA
"1813","Number of Farms with Cattle (Thousand)","1983","Cows","200-299",NA
"1814","Number of Cattle (Thousand)","1983","Cows","200-299",NA
"1815","Number of Farms with Cattle (Thousand)","1985","Cows","200-299",NA
"1816","Number of Cattle (Thousand)","1985","Cows","200-299",NA
"1817","Number of Farms with Cattle (Thousand)","1987","Cows","200-299",NA
"1818","Number of Cattle (Thousand)","1987","Cows","200-299",NA
"1819","Number of Farms with Cattle (Thousand)","1989","Cows","200-299",NA
"1820","Number of Cattle (Thousand)","1989","Cows","200-299",NA
"1821","Number of Farms with Cattle (Thousand)","1991","Cows","200-299",NA
"1822","Number of Cattle (Thousand)","1991","Cows","200-299",NA
"1823","Number of Farms with Cattle (Thousand)","1993","Cows","200-299",NA
"1824","Number of Cattle (Thousand)","1993","Cows","200-299",NA
"1825","Number of Farms with Cattle (Thousand)","1995","Cows","200-299",NA
